Wall time,Step,Value
1748813603.7768443,1,-101.5
1748813608.0592496,2,-90.9000015258789
1748813612.8190277,3,-76.30000305175781
1748813616.8750134,4,-73.19999694824219
1748813621.5221803,5,-58.70000076293945
1748813625.9672484,6,-57.70000076293945
1748813630.7090182,7,-70.69999694824219
1748813634.77535,8,-51.900001525878906
1748813639.2354357,9,-57.5
1748813643.4105096,10,-56.900001525878906
1748813648.0858765,11,-37.400001525878906
1748813652.351202,12,-45.099998474121094
1748813656.7184548,13,-40.79999923706055
1748813661.2018313,14,-29.600000381469727
1748813665.509262,15,-38.099998474121094
1748813670.1747692,16,-33.70000076293945
1748813674.412026,17,-16.200000762939453
1748813679.0623047,18,-12.0
1748813683.528857,19,-20.100000381469727
1748813688.1516364,20,-13.399999618530273
1748813692.6405525,21,0.20000000298023224
1748813697.280355,22,-3.200000047683716
1748813701.559795,23,-16.600000381469727
1748813706.0343611,24,-25.0
1748813710.3443525,25,-6.800000190734863
1748813715.6218514,26,-10.699999809265137
1748813719.953286,27,-16.899999618530273
1748813724.6046753,28,5.199999809265137
1748813728.7127442,29,1.2000000476837158
1748813733.2832673,30,18.700000762939453
1748813737.7512362,31,38.400001525878906
1748813742.5719974,32,52.29999923706055
1748813746.7571511,33,66.69999694824219
1748813751.6512733,34,61.400001525878906
1748813755.911794,35,67.19999694824219
1748813760.743652,36,75.5999984741211
1748813765.270728,37,100.25700378417969
1748813769.6729755,38,104.85700225830078
1748813774.1535108,39,99.08699798583984
1748813778.4653463,40,114.48699951171875
1748813783.2323825,41,112.69999694824219
1748813787.8671901,42,109.30000305175781
1748813792.320558,43,118.19999694824219
1748813796.6635334,44,141.72900390625
1748813801.8570554,45,144.2310028076172
1748813806.4672198,46,120.7020034790039
1748813810.9720595,47,109.80000305175781
1748813815.4702132,48,120.5
1748813819.9993255,49,136.3000030517578
1748813824.4531615,50,154.531005859375
1748813829.4862463,51,158.43099975585938
1748813833.7180717,52,165.76800537109375
1748813838.4499137,53,162.5679931640625
1748813842.7891755,54,140.66900634765625
1748813847.6301985,55,151.97000122070312
1748813852.521582,56,165.00599670410156
1748813857.1309927,57,149.01300048828125
1748813861.6602414,58,145.00799560546875
1748813866.3328545,59,162.51300048828125
1748813870.6865592,60,183.281005859375
1748813875.8503997,61,202.26499938964844
1748813880.1012175,62,220.5970001220703
1748813884.7113624,63,246.50799560546875
1748813888.975576,64,236.89100646972656
1748813893.5935416,65,233.76199340820312
1748813898.2478745,66,293.781005859375
1748813902.571203,67,274.6910095214844
1748813907.2083836,68,278.4679870605469
1748813911.5532844,69,301.25201416015625
1748813916.3292217,70,354.3609924316406
1748813920.9734054,71,346.6889953613281
1748813925.8244846,72,353.39801025390625
1748813930.307242,73,368.65899658203125
1748813935.0526245,74,415.2560119628906
1748813939.486817,75,450.4729919433594
1748813944.3527777,76,448.7099914550781
1748813948.549586,77,466.7820129394531
1748813953.2018948,78,444.00201416015625
1748813957.6102254,79,446.80499267578125
1748813962.122625,80,566.030029296875
1748813966.7301233,81,531.0850219726562
1748813971.2110953,82,653.3079833984375
1748813975.73324,83,609.5679931640625
1748813980.2857757,84,622.198974609375
1748813984.8414645,85,586.7000122070312
1748813989.7057366,86,615.9650268554688
1748813994.2721958,87,749.3880004882812
1748813998.4700677,88,676.0789794921875
1748814003.2853742,89,802.1079711914062
1748814008.0231662,90,685.219970703125
1748814013.0255337,91,704.7119750976562
1748814017.400367,92,700.25
1748814022.130733,93,714.4290161132812
