Wall time,Step,Value
1748815865.5837095,1,-186.2916717529297
1748815869.8657289,2,-177.60000610351562
1748815874.4834974,3,-156.3000030517578
1748815878.609359,4,-160.6999969482422
1748815883.196848,5,-187.8000030517578
1748815887.6934016,6,-190.10000610351562
1748815892.6945603,7,-172.10000610351562
1748815896.8930721,8,-148.89999389648438
1748815902.1377974,9,-142.86099243164062
1748815906.9057403,10,-157.46099853515625
1748815911.923297,11,-134.1999969482422
1748815916.4221916,12,-148.1999969482422
1748815921.2058744,13,-166.10000610351562
1748815925.7984846,14,-167.3000030517578
1748815930.8684897,15,-161.60000610351562
1748815935.3870637,16,-113.80000305175781
1748815940.139875,17,-138.0
1748815944.6029932,18,-127.3489990234375
1748815949.31494,19,-116.54900360107422
1748815953.9338655,20,-140.60000610351562
1748815958.747637,21,-155.0
1748815963.500153,22,-170.10000610351562
1748815968.5177448,23,-150.39999389648438
1748815972.8240476,24,-166.6999969482422
1748815977.7045066,25,-161.3000030517578
1748815982.5925245,26,-153.8000030517578
1748815987.4414647,27,-153.0
1748815991.7014468,28,-141.0
1748815996.5368974,29,-135.89999389648438
1748816000.8614714,30,-133.8000030517578
1748816005.579882,31,-142.3000030517578
1748816009.9313548,32,-149.60000610351562
1748816014.5750062,33,-147.5
1748816019.1178317,34,-121.69999694824219
1748816023.7803812,35,-117.16400146484375
1748816029.003715,36,-152.66400146484375
1748816033.7158937,37,-145.96099853515625
1748816038.0899074,38,-127.66100311279297
1748816042.7181807,39,-130.07899475097656
1748816047.4197428,40,-147.7790069580078
1748816052.6291091,41,-175.6999969482422
1748816056.9958022,42,-166.1999969482422
1748816061.690371,43,-161.6999969482422
1748816066.2161915,44,-129.1999969482422
1748816070.6111798,45,-110.80000305175781
1748816075.553389,46,-131.60000610351562
1748816079.8482845,47,-164.0
1748816084.4109354,48,-151.8000030517578
1748816089.128324,49,-119.0459976196289
1748816093.8065107,50,-149.04600524902344
1748816098.7108643,51,-161.60000610351562
1748816103.524309,52,-151.8000030517578
1748816107.954738,53,-156.10000610351562
1748816112.7251415,54,-148.10000610351562
1748816117.0756168,55,-124.48500061035156
1748816122.223026,56,-112.78500366210938
1748816126.4643128,57,-100.42500305175781
1748816131.7431927,58,-121.92500305175781
1748816136.1348543,59,-141.10000610351562
1748816140.7262108,60,-106.5
1748816145.4633555,61,-114.0
1748816150.243389,62,-132.5
1748816154.8772707,63,-117.80000305175781
1748816159.4321363,64,-122.5999984741211
1748816163.8922,65,-154.1999969482422
1748816168.5322587,66,-117.23699951171875
1748816173.116439,67,-101.63700103759766
1748816177.9140863,68,-141.60000610351562
1748816183.2112198,69,-141.0
1748816188.4455636,70,-140.1999969482422
1748816192.9811814,71,-132.6999969482422
1748816197.6778684,72,-116.9000015258789
1748816202.0842946,73,-106.9000015258789
1748816206.667843,74,-131.5
1748816211.2091215,75,-143.18499755859375
1748816215.8806534,76,-131.18499755859375
1748816220.4670665,77,-131.39999389648438
1748816225.2633147,78,-117.69999694824219
1748816229.9434106,79,-116.4000015258789
1748816234.3501298,80,-116.69999694824219
1748816239.133078,81,-100.69999694824219
1748816243.6015232,82,-91.572998046875
1748816248.277212,83,-108.6729965209961
1748816252.6975086,84,-113.5
1748816257.690983,85,-98.49099731445312
1748816262.2878945,86,-110.59100341796875
1748816267.622461,87,-121.80000305175781
1748816271.9976344,88,-120.0999984741211
1748816276.6779037,89,-92.9000015258789
1748816281.3113766,90,-68.19999694824219
1748816286.2058308,91,-73.58799743652344
1748816290.4945347,92,-89.28800201416016
1748816295.224701,93,-100.0
1748816299.6201925,94,-71.05500030517578
1748816304.120415,95,-88.75499725341797
1748816308.996471,96,-116.5
1748816313.4651487,97,-99.18199920654297
1748816318.0545223,98,-87.18199920654297
1748816322.595825,99,-71.93399810791016
1748816327.4441202,100,-75.20099639892578
1748816332.2511437,101,-72.76699829101562
1748816336.9342477,102,-82.27300262451172
1748816341.1925356,103,-89.9729995727539
1748816346.2576299,104,-65.4219970703125
1748816350.7905092,105,-60.319000244140625
1748816355.7554445,106,-68.09700012207031
1748816359.9746866,107,-74.5999984741211
1748816365.014682,108,-67.00700378417969
1748816369.820363,109,-24.125999450683594
1748816374.6359508,110,-13.519000053405762
1748816379.1291983,111,-35.09700012207031
1748816383.7301543,112,-9.493000030517578
1748816388.4791238,113,-23.496000289916992
1748816393.0890217,114,-36.13399887084961
1748816397.4791143,115,-21.333999633789062
1748816402.409162,116,-8.78600025177002
1748816406.8763506,117,2.138000011444092
1748816411.429203,118,-18.058000564575195
1748816416.087971,119,-35.082000732421875
1748816420.266433,120,-35.29999923706055
1748816425.1886034,121,-28.738000869750977
1748816429.6499238,122,-9.637999534606934
1748816434.2200496,123,-23.43400001525879
1748816438.6237497,124,-30.93400001525879
1748816443.2119946,125,-16.746000289916992
1748816448.2915413,126,-7.833000183105469
1748816452.8395715,127,-13.987000465393066
1748816457.4168005,128,-12.163999557495117
1748816461.8138454,129,1.0360000133514404
1748816466.4960515,130,5.045000076293945
1748816471.0766573,131,17.82200050354004
1748816475.8591835,132,-0.023000000044703484
1748816480.5381365,133,-27.23699951171875
1748816485.1849227,134,-20.40399932861328
1748816489.7136948,135,-2.2300000190734863
1748816494.742596,136,-15.062999725341797
1748816499.2384298,137,-18.104000091552734
1748816503.7864196,138,-3.382999897003174
1748816508.5407033,139,18.02400016784668
1748816513.179649,140,29.035999298095703
1748816518.0585723,141,8.49899959564209
1748816522.6271274,142,19.555999755859375
1748816527.2419293,143,46.152000427246094
1748816531.7991993,144,24.969999313354492
1748816536.4588022,145,2.0889999866485596
1748816541.397116,146,17.01099967956543
1748816545.8599684,147,28.406999588012695
1748816550.4189074,148,30.108999252319336
1748816555.0497513,149,28.749000549316406
1748816559.456198,150,7.7170000076293945
1748816564.5339375,151,-8.890999794006348
1748816569.1947446,152,-1.7910000085830688
1748816573.892302,153,8.545000076293945
1748816578.352833,154,20.981000900268555
1748816583.0503588,155,26.243000030517578
1748816587.6026797,156,30.54800033569336
1748816592.1998606,157,23.542999267578125
1748816596.722131,158,21.570999145507812
1748816601.0730445,159,30.06800079345703
1748816605.9748163,160,29.18600082397461
1748816610.5022056,161,30.66200065612793
1748816615.433982,162,45.452999114990234
1748816619.8370252,163,50.834999084472656
1748816624.4335725,164,66.97200012207031
1748816629.1423926,165,46.87799835205078
1748816633.9738657,166,29.40399932861328
1748816638.4318147,167,28.94700050354004
1748816643.3664188,168,4.421000003814697
1748816647.852433,169,-3.378999948501587
1748816653.0595355,170,37.47800064086914
1748816657.767853,171,31.378000259399414
1748816662.6868057,172,-16.636999130249023
1748816667.0296323,173,-15.237000465393066
1748816671.8933918,174,17.45800018310547
1748816676.4635522,175,39.95100021362305
1748816681.201636,176,24.365999221801758
1748816685.9000764,177,33.34700012207031
1748816690.6477864,178,40.257999420166016
1748816695.3227935,179,27.697999954223633
1748816699.9343584,180,17.687000274658203
1748816704.8477821,181,-5.900000095367432
1748816709.2283108,182,-7.452000141143799
1748816714.1675735,183,37.51300048828125
