Wall time,Step,Value
1748814751.0414767,1,-160.25
1748814756.0927687,2,-163.89999389648438
1748814760.557952,3,-166.6999969482422
1748814764.7174633,4,-161.64300537109375
1748814769.243678,5,-126.48600006103516
1748814773.6879208,6,-141.14300537109375
1748814778.1295028,7,-169.3000030517578
1748814782.4055808,8,-151.39999389648438
1748814786.8519666,9,-149.60000610351562
1748814791.174603,10,-170.10000610351562
1748814795.7239587,11,-160.10000610351562
1748814800.0108001,12,-175.0
1748814804.4813423,13,-197.3000030517578
1748814808.7953186,14,-138.052001953125
1748814813.7768266,15,-126.052001953125
1748814818.3762126,16,-151.0
1748814822.8332887,17,-150.10000610351562
1748814827.6806598,18,-158.0
1748814832.1995115,19,-165.1999969482422
1748814836.7086542,20,-166.89999389648438
1748814841.025946,21,-157.3000030517578
1748814845.7554004,22,-161.10000610351562
1748814849.9575942,23,-142.21299743652344
1748814854.6786227,24,-124.06500244140625
1748814859.011823,25,-140.8520050048828
1748814863.6443076,26,-144.89999389648438
1748814868.0827665,27,-118.0999984741211
1748814872.4795985,28,-119.0999984741211
1748814876.802507,29,-160.10000610351562
1748814881.3188038,30,-151.593994140625
1748814886.400851,31,-150.3939971923828
1748814891.0737522,32,-161.10000610351562
1748814895.477097,33,-167.10000610351562
1748814899.8679972,34,-175.89999389648438
1748814904.5176551,35,-178.3000030517578
1748814909.0948038,36,-132.3000030517578
1748814913.8072612,37,-128.8000030517578
1748814918.1685808,38,-163.0
1748814922.719551,39,-130.47900390625
1748814927.560161,40,-127.4800033569336
1748814932.3014152,41,-157.00100708007812
1748814936.8826816,42,-156.0
1748814941.7458541,43,-145.6580047607422
1748814946.2503178,44,-146.75799560546875
1748814950.7028503,45,-154.0
1748814955.3439817,46,-121.9000015258789
1748814960.1134315,47,-97.25800323486328
1748814964.876815,48,-117.9219970703125
1748814969.5096955,49,-158.36399841308594
1748814974.5832427,50,-174.1999969482422
1748814979.302912,51,-161.3000030517578
1748814984.0042443,52,-148.79200744628906
1748814988.36437,53,-149.7530059814453
1748814993.0987759,54,-168.46099853515625
1748814997.8341243,55,-159.10000610351562
1748815002.6837025,56,-158.8000030517578
1748815007.372136,57,-167.19400024414062
1748815012.1526387,58,-161.593994140625
1748815016.4387767,59,-142.093994140625
1748815021.2895374,60,-139.031005859375
1748815026.6254222,61,-140.23699951171875
1748815031.2385988,62,-113.4000015258789
1748815035.5738528,63,-143.8000030517578
1748815040.5339048,64,-168.5
1748815044.879043,65,-162.5
1748815050.3989632,66,-169.1999969482422
1748815054.698098,67,-149.10000610351562
1748815059.5678575,68,-148.8000030517578
1748815063.8847783,69,-142.60000610351562
1748815068.4783745,70,-126.0999984741211
1748815073.1536486,71,-131.6999969482422
1748815078.0308218,72,-140.07000732421875
1748815083.1383421,73,-154.57000732421875
1748815087.5753012,74,-143.14599609375
1748815092.1676745,75,-157.64599609375
1748815096.9964814,76,-144.2790069580078
1748815101.4534297,77,-125.17900085449219
1748815105.95095,78,-167.89999389648438
1748815110.708144,79,-172.39999389648438
1748815115.0126038,80,-150.0
1748815119.892101,81,-144.3000030517578
1748815124.2103324,82,-138.8489990234375
1748815129.345689,83,-146.8489990234375
1748815133.5940998,84,-138.58900451660156
1748815138.2540429,85,-137.08900451660156
1748815142.9694066,86,-153.89999389648438
1748815147.7096403,87,-142.5
1748815152.102213,88,-139.3000030517578
1748815156.8214784,89,-118.98799896240234
1748815161.4446597,90,-126.18800354003906
1748815166.260687,91,-147.6999969482422
1748815170.8654182,92,-155.6999969482422
1748815175.8487725,93,-175.39999389648438
1748815180.4233284,94,-153.5
1748815185.282343,95,-125.5
1748815190.0867364,96,-136.60000610351562
1748815194.5699792,97,-147.10000610351562
1748815199.070714,98,-124.51599884033203
1748815203.6231391,99,-112.91600036621094
1748815208.137045,100,-111.21299743652344
1748815212.7370613,101,-115.71299743652344
1748815217.6127658,102,-115.84300231933594
1748815222.4763384,103,-82.54299926757812
1748815227.2316616,104,-98.5
1748815231.57094,105,-87.6969985961914
1748815236.5385456,106,-80.28199768066406
1748815240.9934208,107,-99.38500213623047
1748815245.6293511,108,-104.9000015258789
1748815250.3151345,109,-103.16999816894531
1748815254.9957864,110,-81.24600219726562
1748815259.3996415,111,-99.57599639892578
1748815264.2732265,112,-119.58799743652344
1748815268.568107,113,-106.48799896240234
1748815273.2258327,114,-92.9000015258789
1748815277.805174,115,-68.28299713134766
1748815282.4556623,116,-61.18299865722656
1748815287.0964596,117,-81.23100280761719
1748815291.6009374,118,-92.40399932861328
1748815296.0734453,119,-104.87300109863281
1748815300.5291939,120,-101.54900360107422
1748815305.3769941,121,-87.2490005493164
1748815309.9332905,122,-88.14900207519531
1748815314.7319562,123,-68.14900207519531
1748815319.0280082,124,-83.0
1748815323.7525492,125,-128.89999389648438
1748815328.277621,126,-92.18199920654297
1748815333.0571165,127,-48.18199920654297
1748815337.852366,128,-37.76100158691406
1748815342.458766,129,-43.861000061035156
1748815346.7305512,130,-62.29999923706055
1748815351.715546,131,-86.0
1748815356.385171,132,-102.30000305175781
1748815360.8803601,133,-46.13999938964844
1748815365.7726917,134,-23.235000610351562
1748815370.512736,135,-72.19499969482422
1748815375.2989218,136,-63.13999938964844
1748815379.8844562,137,-16.482999801635742
1748815384.685696,138,16.38599967956543
1748815388.9743164,139,31.527000427246094
