num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_duration_sec_mean,env_runners/episode_return_max,env_runners/num_env_steps_sampled,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_len_mean,env_runners/episode_return_mean,env_runners/num_episodes_lifetime,env_runners/episode_len_min,env_runners/episode_return_min,env_runners/episode_len_max,env_runners/num_episodes,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/agent_episode_returns_mean/human,env_runners/agent_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/module_episode_returns_mean/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/agent_steps/human,env_runners/agent_steps/ai,learners/ai/num_trainable_parameters,learners/ai/curr_kl_coeff,learners/ai/vf_explained_var,learners/ai/weights_seq_no,learners/ai/mean_kl_loss,learners/ai/default_optimizer_learning_rate,learners/ai/num_non_trainable_parameters,learners/ai/entropy,learners/ai/num_module_steps_trained_lifetime,learners/ai/vf_loss_unclipped,learners/ai/gradients_default_optimizer_global_norm,learners/ai/policy_loss,learners/ai/vf_loss,learners/ai/curr_entropy_coeff,learners/ai/total_loss,learners/ai/num_module_steps_trained,learners/ai/module_train_batch_size_mean,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/human/num_trainable_parameters,learners/human/vf_explained_var,learners/human/curr_kl_coeff,learners/human/weights_seq_no,learners/human/mean_kl_loss,learners/human/default_optimizer_learning_rate,learners/human/num_non_trainable_parameters,learners/human/entropy,learners/human/vf_loss_unclipped,learners/human/num_module_steps_trained_lifetime,learners/human/gradients_default_optimizer_global_norm,learners/human/policy_loss,learners/human/vf_loss,learners/human/curr_entropy_coeff,learners/human/total_loss,learners/human/num_module_steps_trained,learners/human/module_train_batch_size_mean,learners/human/diff_num_grad_updates_vs_sampler_policy
1,4000,False,1,cf532_00000,2025-06-01_22-51-49,1748807509,8.513152837753296,8.513152837753296,57788,Cerebro,127.0.0.1,8.513152837753296,1,8.503124899987597,1.810002140700817e-05,8.502938699966762,1.468260299996473,7.025726300023962,0.00712349999230355,0.11168401875208171,311.9999999999999,4000,4000,80.0,-238.83333333333363,48,80,-1008.000000000001,80,48,4,0,0,25.44545454545454,70.65454545454546,0.0,0.0,4000,4000,4000,4000,4000,4000,-119.41666666666681,-119.41666666666681,-119.41666666666681,-119.41666666666681,4000,4000,80.0,80.0,145926,0.10000000149011612,0.0007796287536621094,1.0,0.0006007683114148676,0.0005,0,1.606149435043335,4052,6546.2841796875,0.24565301835536957,0.23624643683433533,8.957643508911133,0.2,0.8109011054039001,4052,4052,0.0,4000,4000,0.40921030001481995,8104,291852,0,8104,145926,0.0038501620292663574,0.10000000149011612,1.0,0.0008320679771713912,0.0005,0,1.6082754135131836,1982.2513427734375,4052,0.1085943877696991,-0.12741577625274658,8.521918296813965,0.2,0.40328744053840637,4052,4052,0.0
1,8000,False,2,cf532_00000,2025-06-01_22-51-57,1748807517,8.175029516220093,16.68818235397339,57788,Cerebro,127.0.0.1,16.68818235397339,2,8.499731118987548,1.835402101278305e-05,8.499543410967453,1.466392892996664,7.024191979023744,0.007127423991914838,0.10383071200049017,311.9999999999999,4000,8000,80.0,-228.60000000000022,100,80,-1008.000000000001,80,52,4,0,0,25.779999999999994,71.06,0.0,0.0,8000,8000,4000,4000,4000,4000,-114.30000000000011,-114.30000000000011,-114.30000000000011,-114.30000000000011,8000,8000,80.0,80.0,145926.0,0.05000000074505806,0.0009899735450744629,2.0,0.0005051897605881095,0.0005,0.0,1.60667085647583,8104,3414.125732421875,0.14069119095802307,0.019152257591485977,8.64955997467041,0.2,0.5628246665000916,4052,4052.0,0.0,4000,8000,0.4091922742748167,8104,291852.0,0.0,16208,145926.0,-0.006628632545471191,0.05000000074505806,2.0,0.0005000215605832636,0.0005,0.0,1.608211636543274,2491.16748046875,8104,0.07486028224229813,0.0497322753071785,9.013874053955078,0.2,0.62952721118927,4052,4052.0,0.0
1,12000,False,3,cf532_00000,2025-06-01_22-52-05,1748807525,7.942026853561401,24.63020920753479,57788,Cerebro,127.0.0.1,24.63020920753479,3,8.494022497798213,1.8296481180004776e-05,8.493833513857592,1.4643439230671909,7.020524487233528,0.007124897752190009,0.09623703099729028,291.99999999999943,4000,12000,80.0,-211.00000000000014,148,80,-768.0000000000009,80,48,4,0,0,25.720000000000006,70.97,0.0,0.0,12000,12000,4000,4000,4000,4000,-105.50000000000007,-105.50000000000007,-105.50000000000007,-105.50000000000007,12000,12000,80.0,80.0,145926.0,0.02500000037252903,-0.0009391307830810547,3.0,0.0008830386213958263,0.0005,0.0,1.6039260625839233,12156,3080.641357421875,0.28293249011039734,0.01963306963443756,9.173225402832031,0.2,0.6162145137786865,4052,4052.0,0.0,4000,12000,0.4091556052496135,8104,291852.0,0.0,24312,145926.0,0.0034981369972229004,0.02500000037252903,3.0,0.000638640602119267,0.0005,0.0,1.6080430746078491,2907.54296875,12156,0.12056794762611389,0.07597764581441879,7.8197503089904785,0.2,0.5363759398460388,4052,4052.0,0.0
1,16000,False,4,cf532_00000,2025-06-01_22-52-13,1748807533,8.128910064697266,32.759119272232056,57788,Cerebro,127.0.0.1,32.759119272232056,4,8.490114379820003,1.8233516699867323e-05,8.48992436871928,1.4635360668368462,7.0174124543609375,0.007129869774722028,0.09985952599905432,332.0000000000001,4000,16000,80.0,-170.0000000000001,200,80,-908.0000000000006,80,52,4,0,0,25.318181818181817,70.92727272727274,0.0,0.0,16000,16000,4000,4000,4000,4000,-85.00000000000006,-85.00000000000006,-85.00000000000006,-85.00000000000006,16000,16000,80.0,80.0,145926.0,0.012500000186264515,0.00967317819595337,4.0,0.0007899643387645483,0.0005,0.0,1.6053942441940308,16208,2400.319091796875,0.2960234582424164,-0.15385092794895172,9.045479774475098,0.2,0.4296379089355469,4052,4052.0,0.0,4000,16000,0.40911789474748744,8104,291852.0,0.0,32416,145926.0,0.0023971199989318848,0.012500000186264515,4.0,0.0004900565254501998,0.0005,0.0,1.6081081628799438,1944.922119140625,16208,0.15340280532836914,0.07606827467679977,9.018974304199219,0.2,0.6563562750816345,4052,4052.0,0.0
1,20000,False,5,cf532_00000,2025-06-01_22-52-21,1748807541,8.21560549736023,40.974724769592285,57788,Cerebro,127.0.0.1,40.974724769592285,5,8.487269221022137,1.8179181343370584e-05,8.487078348031762,1.4619313711684472,7.016161745817071,0.00713030807722786,0.1000965510023525,332.0000000000001,4000,20000,80.0,-155.8000000000001,248,80,-1108.0000000000005,80,48,4,0,0,28.560000000000002,70.86999999999999,0.0,0.0,20000,20000,4000,4000,4000,4000,-77.90000000000005,-77.90000000000005,-77.90000000000005,-77.90000000000005,20000,20000,80.0,80.0,145926.0,0.0062500000931322575,-0.012701630592346191,5.0,0.0005456297076307237,0.0005,0.0,1.6045851707458496,20260,1419.185791015625,0.179253488779068,-0.19342567026615143,8.69183349609375,0.2,0.3548474907875061,4052,4052.0,0.0,4000,20000,0.40906485680488314,8104,291852.0,0.0,40520,145926.0,-0.007221102714538574,0.0062500000931322575,5.0,0.0006542881019413471,0.0005,0.0,1.607426404953003,2085.80126953125,20260,0.4762624502182007,-0.01890985481441021,8.73648738861084,0.2,0.5332617163658142,4052,4052.0,0.0
1,24000,False,6,cf532_00000,2025-06-01_22-52-30,1748807550,8.683503866195679,49.658228635787964,57788,Cerebro,127.0.0.1,49.658228635787964,6,8.489108353812153,1.8318389063806203e-05,8.488914564551614,1.4621315364570515,7.017801042358805,0.007121799996722796,0.09264116300037131,291.99999999999886,4000,24000,80.0,-155.40000000000015,300,80,-1108.0000000000005,80,52,4,0,0,26.28,70.61,0.0,0.0,24000,24000,4000,4000,4000,4000,-77.70000000000007,-77.70000000000007,-77.70000000000007,-77.70000000000007,24000,24000,80.0,80.0,145926.0,0.0031250000465661287,0.05531740188598633,6.0,0.0005549998604692519,0.0005,0.0,1.6027003526687622,24312,2192.06396484375,0.42836594581604004,0.20186281204223633,8.710037231445312,0.2,0.75232994556427,4052,4052.0,0.0,4000,24000,0.40901122421165403,8104,291852.0,0.0,48624,145926.0,0.020786762237548828,0.0031250000465661287,6.0,0.0006222092779353261,0.0005,0.0,1.6061314344406128,1898.35009765625,24312,0.36459317803382874,0.06816573441028595,8.359556198120117,0.2,0.5828989148139954,4052,4052.0,0.0
1,28000,False,7,cf532_00000,2025-06-01_22-52-38,1748807558,8.429206609725952,58.087435245513916,57788,Cerebro,127.0.0.1,58.087435245513916,7,8.488393295274083,1.827120504458602e-05,8.488197227906062,1.46137541409301,7.017813161935336,0.0071269429967113634,0.09667039200256113,331.9999999999998,4000,28000,80.0,-149.40000000000018,348,80,-588.0000000000011,80,48,4,0,0,28.90909090909091,69.90909090909089,0.0,0.0,28000,28000,4000,4000,4000,4000,-74.70000000000009,-74.70000000000009,-74.70000000000009,-74.70000000000009,28000,28000,80.0,80.0,145926.0,0.0015625000232830644,0.005267918109893799,7.0,0.0004943900858052075,0.0005,0.0,1.6032562255859375,28364,2317.775146484375,0.36943548917770386,0.22809305787086487,8.99599552154541,0.2,0.8070428371429443,4052,4052.0,0.0,4000,28000,0.4089422613346123,8104,291852.0,0.0,56728,145926.0,-0.05481255054473877,0.0015625000232830644,7.0,0.000626816472504288,0.0005,0.0,1.604074239730835,2209.707275390625,28364,0.3243950605392456,0.05592499300837517,8.300009727478027,0.2,0.5651130080223083,4052,4052.0,0.0
1,32000,False,8,cf532_00000,2025-06-01_22-52-47,1748807567,8.636033058166504,66.72346830368042,57788,Cerebro,127.0.0.1,66.72346830368042,8,8.489770051321242,1.8223493440020155e-05,8.489572917627136,1.460798987951911,7.019751319316242,0.007131341566661891,0.10552209500048776,331.9999999999998,4000,32000,80.0,-144.6000000000001,400,80,-748.0000000000011,80,52,4,0,0,27.436363636363634,70.43636363636364,0.0,0.0,32000,32000,4000,4000,4000,4000,-72.30000000000005,-72.30000000000005,-72.30000000000005,-72.30000000000005,32000,32000,80.0,80.0,145926.0,0.0007812500116415322,0.030446171760559082,8.0,0.0006018434069119394,0.0005,0.0,1.6017241477966309,32416,1682.089599609375,0.2934114634990692,-0.10820221900939941,7.615536689758301,0.2,0.3330076038837433,4052,4052.0,0.0,4000,32000,0.4088733629026858,8104,291852.0,0.0,64832,145926.0,0.07939451932907104,0.0007812500116415322,8.0,0.0006379014812409878,0.0005,0.0,1.603727102279663,1089.2781982421875,32416,0.4241536259651184,0.2296598255634308,8.019317626953125,0.2,0.7108470797538757,4052,4052.0,0.0
1,36000,False,9,cf532_00000,2025-06-01_22-52-55,1748807575,8.306925058364868,75.03039336204529,57788,Cerebro,127.0.0.1,75.03039336204529,9,8.487790471807852,1.819125848364074e-05,8.487592019450663,1.459639830072532,7.018909723122709,0.0071391331508904796,0.10424109999730717,331.99999999999994,4000,36000,80.0,-109.60000000000008,448,80,-748.0000000000011,80,48,4,0,0,25.689999999999998,70.4,0.0,0.0,36000,36000,4000,4000,4000,4000,-54.80000000000004,-54.80000000000004,-54.80000000000004,-54.80000000000004,36000,36000,80.0,80.0,145926.0,0.0003906250058207661,-0.12492847442626953,9.0,0.0009137114975601435,0.0005,0.0,1.6004079580307007,36468,848.1770629882812,0.30104267597198486,0.002393439644947648,8.664620399475098,0.2,0.5487746000289917,4052,4052.0,0.0,4000,36000,0.4087886924232598,8104,291852.0,0.0,72936,145926.0,-0.13752269744873047,0.0003906250058207661,9.0,0.0008670933893881738,0.0005,0.0,1.6019631624221802,1828.0657958984375,36468,0.2697146236896515,-0.05591393634676933,9.606881141662598,0.2,0.5843822360038757,4052,4052.0,0.0
1,40000,False,10,cf532_00000,2025-06-01_22-53-03,1748807583,8.201482057571411,83.2318754196167,57788,Cerebro,127.0.0.1,83.2318754196167,10,8.484820118089667,1.813834629899737e-05,8.484620857256319,1.4600439437722128,7.0155192248912215,0.007146108819478052,0.10104208699718584,331.99999999999994,4000,40000,80.0,-110.6000000000001,500,80,-728.0000000000008,80,52,4,0,0,23.169999999999998,70.88,0.0,0.0,40000,40000,4000,4000,4000,4000,-55.30000000000005,-55.30000000000005,-55.30000000000005,-55.30000000000005,40000,40000,80.0,80.0,145926.0,0.00019531250291038305,0.06995588541030884,10.0,0.000994103029370308,0.0005,0.0,1.599904179573059,40520,496.4299621582031,0.22892799973487854,-0.0598495788872242,8.750214576721191,0.2,0.49519139528274536,4052,4052.0,0.0,4000,40000,0.4086879468071325,8104,291852.0,0.0,81040,145926.0,-0.03977179527282715,0.00019531250291038305,10.0,0.0010459518525749445,0.0005,0.0,1.5986028909683228,2378.594970703125,40520,0.43249812722206116,-0.11928802728652954,8.032952308654785,0.2,0.36428704857826233,4052,4052.0,0.0
