num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_len_mean,env_runners/num_env_steps_sampled_lifetime,env_runners/num_env_steps_sampled,env_runners/num_episodes_lifetime,env_runners/episode_len_max,env_runners/episode_duration_sec_mean,env_runners/episode_return_mean,env_runners/episode_len_min,env_runners/num_episodes,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/agent_steps/ai,env_runners/agent_steps/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled/human,learners/ai/module_train_batch_size_mean,learners/ai/vf_loss_unclipped,learners/ai/num_module_steps_trained_lifetime,learners/ai/curr_kl_coeff,learners/ai/total_loss,learners/ai/mean_kl_loss,learners/ai/default_optimizer_learning_rate,learners/ai/num_module_steps_trained,learners/ai/vf_loss,learners/ai/curr_entropy_coeff,learners/ai/num_non_trainable_parameters,learners/ai/num_trainable_parameters,learners/ai/weights_seq_no,learners/ai/policy_loss,learners/ai/gradients_default_optimizer_global_norm,learners/ai/vf_explained_var,learners/ai/entropy,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained,learners/human/curr_entropy_coeff
1,4000,False,1,17070_00000,2025-06-01_21-56-29,1748804189,4.581254005432129,4.581254005432129,54100,Cerebro,127.0.0.1,4.581254005432129,1,4.573434799967799,2.400000812485814e-05,4.573225400003139,1.157386100036092,3.4078781999996863,0.006279499968513846,231.9999999999999,-288.00000000000034,80.0,4000,4000,48,80,0.0871004500016473,-126.74999999999993,80,48,4,0,0,18.683333333333334,72.30000000000001,0.0,0.0,80.0,80.0,-63.374999999999964,-63.374999999999964,4000,4000,4000,4000,4000,4000,-63.374999999999964,-63.374999999999964,4000,4000,4052,528.9492797851562,4052,0.10000000149011612,0.5546410083770752,0.0012079045409336686,0.0005,4052,8.331311225891113,0.2,0,152070,1.0,0.042200520634651184,0.36428406834602356,-0.03550863265991211,1.6046608686447144,0.0,4052,4000,4052,0.1743891999940388,0,152070,4000,0.2
1,8000,False,2,17070_00000,2025-06-01_21-56-33,1748804193,4.365386009216309,8.946640014648438,54100,Cerebro,127.0.0.1,8.946640014648438,2,4.57122548196814,2.393500821199268e-05,4.571015071003348,1.153949296035571,3.4090973879996453,0.006281139968778007,251.99999999999957,-428.00000000000057,80.0,8000,4000,100,80,0.07302964000147767,-128.19999999999993,80,52,4,0,0,22.12,72.3,0.0,0.0,80.0,80.0,-64.09999999999997,-64.09999999999997,8000,8000,8000,8000,4000,4000,-64.09999999999997,-64.09999999999997,4000,4000,4052.0,742.2313842773438,8104,0.05000000074505806,0.5738565325737,0.00040993563015945256,0.0005,4052,7.996364593505859,0.2,0.0,152070.0,2.0,0.09532826393842697,0.609440267086029,-0.012725591659545898,1.605745792388916,0.0,8104,8000,4052,0.17440307766404003,0.0,152070.0,4000,0.2
1,12000,False,3,17070_00000,2025-06-01_21-56-37,1748804197,4.371339797973633,13.31797981262207,54100,Cerebro,127.0.0.1,13.31797981262207,3,4.569140354148822,2.3807658400619402e-05,4.568929482293355,1.1515347750747693,3.409422284120024,0.006279583569272654,251.99999999999957,-428.00000000000057,80.0,12000,4000,148,80,0.06400219299946912,-121.4,80,48,4,0,0,27.639999999999997,72.32000000000001,0.0,0.0,80.0,80.0,-60.7,-60.7,12000,12000,12000,12000,4000,4000,-60.7,-60.7,4000,4000,4052.0,244.11297607421875,12156,0.02500000037252903,0.46441131830215454,0.0005738209583796561,0.0005,4052,8.014374732971191,0.2,0.0,152070.0,3.0,-0.01606714352965355,1.0358954668045044,0.011139094829559326,1.604938268661499,0.0,12156,12000,4052,0.17441590491064105,0.0,152070.0,4000,0.2
1,16000,False,4,17070_00000,2025-06-01_21-56-41,1748804201,4.143831014633179,17.46181082725525,54100,Cerebro,127.0.0.1,17.46181082725525,4,4.564779351607203,2.368858214066131e-05,4.564567721470579,1.1480698373241633,3.4085144402787866,0.006283150733658054,251.99999999999997,-368.000000000001,80.0,16000,4000,200,80,0.06404944799956866,-110.2,80,52,4,0,0,21.7,72.35,0.0,0.0,80.0,80.0,-55.1,-55.1,16000,16000,16000,16000,4000,4000,-55.1,-55.1,4000,4000,4052.0,317.83984375,16208,0.012500000186264515,0.21717707812786102,0.0009133460698649287,0.0005,4052,7.2123637199401855,0.2,0.0,152070.0,4.0,-0.18325315415859222,1.217156171798706,0.030541062355041504,1.60414457321167,0.0,16208,16000,4052,0.17442873818453897,0.0,152070.0,4000,0.2
1,20000,False,5,17070_00000,2025-06-01_21-56-46,1748804206,4.852355480194092,22.31416630744934,54100,Cerebro,127.0.0.1,22.31416630744934,5,4.5675702360913695,2.357369608406967e-05,4.5673581132554535,1.1455475129508432,3.413826512875785,0.006279550226226158,251.99999999999997,-368.000000000001,80.0,20000,4000,248,80,0.06327077499881853,-108.59999999999997,80,48,4,0,0,29.25,72.33333333333333,0.0,0.0,80.0,80.0,-54.29999999999998,-54.29999999999998,20000,20000,20000,20000,4000,4000,-54.29999999999998,-54.29999999999998,4000,4000,4052.0,251.7606658935547,20260,0.0062500000931322575,0.3281828463077545,0.0008117698016576469,0.0005,4052,7.644128322601318,0.2,0.0,152070.0,5.0,-0.1156095489859581,0.44786885380744934,0.18143689632415771,1.6031529903411865,0.0,20260,20000,4052,0.1744581033624651,0.0,152070.0,4000,0.2
1,24000,False,6,17070_00000,2025-06-01_21-56-51,1748804211,4.807279109954834,27.121445417404175,54100,Cerebro,127.0.0.1,27.121445417404175,6,4.569875565730845,2.3462958910887424e-05,4.569662656122682,1.1435472638216169,3.4181227977472655,0.006277088724118295,132.00000000000034,-348.00000000000034,80.0,24000,4000,300,80,0.06786893199838233,-118.7999999999999,80,52,4,0,0,27.88333333333333,72.35000000000001,0.0,0.0,80.0,80.0,-59.39999999999995,-59.39999999999995,24000,24000,24000,24000,4000,4000,-59.39999999999995,-59.39999999999995,4000,4000,4052.0,538.06689453125,24312,0.0031250000465661287,0.46444636583328247,0.0003785975568462163,0.0005,4052,8.02084732055664,0.2,0.0,152070.0,6.0,-0.01716558448970318,0.4708233177661896,0.13652187585830688,1.6023756265640259,0.0,24312,24000,4052,0.17448648490301774,0.0,152070.0,4000,0.2
1,28000,False,7,17070_00000,2025-06-01_21-56-56,1748804216,4.946527004241943,32.06797242164612,54100,Cerebro,127.0.0.1,32.06797242164612,7,4.5735341710736845,2.3365329200810923e-05,4.573319835561309,1.1414372611834405,3.423882923769686,0.006275981837263484,72.0000000000002,-348.00000000000034,80.0,28000,4000,348,80,0.06930346099892631,-122.39999999999992,80,48,4,0,0,27.666666666666668,72.31666666666668,0.0,0.0,80.0,80.0,-61.19999999999996,-61.19999999999996,28000,28000,28000,28000,4000,4000,-61.19999999999996,-61.19999999999996,4000,4000,4052.0,367.1609802246094,28364,0.0015625000232830644,0.37530022859573364,0.0008697430021129549,0.0005,4052,7.736454486846924,0.2,0.0,152070.0,7.0,-0.07823873311281204,0.49920913577079773,0.06915837526321411,1.600545883178711,0.0,28364,28000,4052,0.17453367649242318,0.0,152070.0,4000,0.2
1,32000,False,8,17070_00000,2025-06-01_21-57-01,1748804221,4.527949571609497,36.595921993255615,54100,Cerebro,127.0.0.1,36.595921993255615,8,4.572983775362593,2.327867644605673e-05,4.572768282205816,1.139718686571345,3.4250241055320774,0.006286575019225313,251.9999999999994,-328.0,80.0,32000,4000,400,80,0.07056519299803768,-101.99999999999996,80,52,4,0,0,29.839999999999996,72.28,0.0,0.0,80.0,80.0,-50.99999999999998,-50.99999999999998,32000,32000,32000,32000,4000,4000,-50.99999999999998,-50.99999999999998,4000,4000,4052.0,272.45452880859375,32416,0.0007812500116415322,0.7432234883308411,0.0006437934353016317,0.0005,4052,8.975058555603027,0.2,0.0,152070.0,8.0,0.1662728488445282,0.1429222673177719,0.0181770920753479,1.6027811765670776,0.0,32416,32000,4052,0.17457893133155447,0.0,152070.0,4000,0.2
1,36000,False,9,17070_00000,2025-06-01_21-57-05,1748804225,4.583604335784912,41.17952632904053,54100,Cerebro,127.0.0.1,41.17952632904053,9,4.5729799366091,2.3188890188392105e-05,4.572763113383548,1.1379407627052536,3.4267771734766908,0.006297198269238941,272.0,-308.00000000000045,80.0,36000,4000,448,80,0.07078146900108549,-93.79999999999998,80,48,4,0,0,25.083333333333332,72.24999999999999,0.0,0.0,80.0,80.0,-46.89999999999999,-46.89999999999999,36000,36000,36000,36000,4000,4000,-46.89999999999999,-46.89999999999999,4000,4000,4052.0,1331.582275390625,36468,0.0003906250058207661,0.13902074098587036,0.0004828802775591612,0.0005,4052,7.691253662109375,0.2,0.0,152070.0,9.0,-0.309836745262146,0.5179752111434937,0.010499060153961182,1.6013416051864624,0.0,36468,36000,4052,0.174622674786252,0.0,152070.0,4000,0.2
1,40000,False,10,17070_00000,2025-06-01_21-57-10,1748804230,4.215985536575317,45.395511865615845,54100,Cerebro,127.0.0.1,45.395511865615845,10,4.56927656224294,2.3074001013250688e-05,4.569059046249396,1.1355393350778187,3.4254700647414635,0.006292003286439219,431.99999999999943,-388.00000000000057,80.0,40000,4000,500,80,0.06811314900114666,-112.99999999999999,80,52,4,0,0,21.03333333333333,72.26666666666667,0.0,0.0,80.0,80.0,-56.49999999999999,-56.49999999999999,40000,40000,40000,40000,4000,4000,-56.49999999999999,-56.49999999999999,4000,4000,4052.0,1614.03759765625,40520,0.00019531250291038305,0.28485438227653503,0.000698775751516223,0.0005,4052,8.216968536376953,0.2,0.0,152070.0,10.0,-0.21729716658592224,1.0025959014892578,0.05991244316101074,1.5977280139923096,0.0,40520,40000,4052,0.17466379339871937,0.0,152070.0,4000,0.2
