num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_episodes_lifetime,env_runners/num_episodes,env_runners/episode_return_mean,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_len_mean,env_runners/episode_return_min,env_runners/episode_len_max,env_runners/num_env_steps_sampled,env_runners/episode_len_min,env_runners/episode_return_max,env_runners/episode_duration_sec_mean,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/agent_steps/human,env_runners/agent_steps/ai,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled/human,learners/ai/curr_entropy_coeff,learners/ai/vf_loss,learners/ai/default_optimizer_learning_rate,learners/ai/curr_kl_coeff,learners/ai/module_train_batch_size_mean,learners/ai/weights_seq_no,learners/ai/mean_kl_loss,learners/ai/gradients_default_optimizer_global_norm,learners/ai/entropy,learners/ai/num_module_steps_trained_lifetime,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/num_non_trainable_parameters,learners/ai/vf_loss_unclipped,learners/ai/vf_explained_var,learners/ai/num_trainable_parameters,learners/ai/policy_loss,learners/ai/total_loss,learners/ai/num_module_steps_trained,learners/human/curr_entropy_coeff,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained
1,4000,False,1,f022e_00000,2025-06-01_15-43-11,1748781791,4.850204229354858,4.850204229354858,33832,Cerebro,127.0.0.1,4.850204229354858,1,4.840132499986794,1.910002902150154e-05,4.839916200027801,1.205807399994228,3.62609189999057,0.0059222999843768775,48,48,-161.66666666666666,4000,80.0,-260.0,80,4000,80,-140.0,0.0908179791670894,4,0,0,24.37142857142857,66.68571428571428,80.0,80.0,4000,4000,4000,4000,-80.83333333333333,-80.83333333333333,-80.83333333333333,-80.83333333333333,4000,4000,4000,4000,0.1,6.31156063079834,0.001,0.10000000149011612,4052,1.0,0.0005442488472908735,0.5337956547737122,1.6077708005905151,4052,0.0,0,82.7099380493164,0.041658997535705566,152070,0.10321441292762756,0.5737022161483765,4052,0.1,0.1906590000144206,4000,4052,0,152070,4000,4052
1,8000,False,2,f022e_00000,2025-06-01_15-43-15,1748781795,4.906736612319946,9.756940841674805,33832,Cerebro,127.0.0.1,9.756940841674805,2,4.840694891986787,1.9101028447039428e-05,4.840477514027152,1.2037416629941435,3.6286868549906646,0.005953209984581918,100,52,-162.8,8000,80.0,-260.0,80,4000,80,-140.0,0.08138230000040494,4,0,0,20.442857142857143,66.68571428571428,80.0,80.0,4000,4000,8000,8000,-81.4,-81.4,-81.4,-81.4,8000,8000,4000,4000,0.1,7.297299385070801,0.001,0.05000000074505806,4052.0,2.0,0.0007320886943489313,0.39273837208747864,1.609037160873413,8104,0.0,0.0,279.8341064453125,0.0038881301879882812,152070.0,0.07385125756263733,0.64275062084198,4052,0.1,0.19067296331442193,8000,8104,0.0,152070.0,4000,4052
1,12000,False,3,f022e_00000,2025-06-01_15-43-21,1748781801,5.066167593002319,14.823108434677124,33832,Cerebro,127.0.0.1,14.823108434677124,3,4.842833008067107,1.905701811774634e-05,4.842614529887168,1.2031024643641604,3.631448843441065,0.005963106884877198,148,48,-161.8,12000,80.0,-260.0,80,4000,80,-100.0,0.07898631800257135,4,0,0,30.357142857142858,66.39999999999999,80.0,80.0,4000,4000,12000,12000,-80.9,-80.9,-80.9,-80.9,12000,12000,4000,4000,0.1,8.280399322509766,0.001,0.02500000037252903,4052.0,3.0,0.00044095373596064746,0.1187274381518364,1.608449935913086,12156,0.0,0.0,555.3004760742188,0.1095665693283081,152070.0,-0.1498161405324936,0.517400860786438,4052,0.1,0.19068679569842362,12000,12156,0.0,152070.0,4000,4052
1,16000,False,4,f022e_00000,2025-06-01_15-43-25,1748781805,4.762770891189575,19.5858793258667,33832,Cerebro,127.0.0.1,19.5858793258667,4,4.841923843986274,1.9069447736081205e-05,4.841704714588077,1.200214524720624,3.6334171810070135,0.0059709228162115905,200,52,-160.8,16000,80.0,-260.0,80,4000,80,-100.0,0.07622531100176275,4,0,0,20.385714285714283,66.38571428571427,80.0,80.0,4000,4000,16000,16000,-80.4,-80.4,-80.4,-80.4,16000,16000,4000,4000,0.1,7.9936113357543945,0.001,0.012500000186264515,4052.0,4.0,0.00041386959492228925,0.3708343505859375,1.6083714962005615,16208,0.0,0.0,387.7505187988281,0.14829593896865845,152070.0,0.10599920898675919,0.7445335388183594,4052,0.1,0.19071556254841177,16000,16208,0.0,152070.0,4000,4052
1,20000,False,5,f022e_00000,2025-06-01_15-43-30,1748781810,4.935202598571777,24.521081924438477,33832,Cerebro,127.0.0.1,24.521081924438477,5,4.842735253546787,1.9008753666527924e-05,4.842515268442071,1.1986022254733066,3.6358283311974113,0.005976566588003959,248,48,-162.6,20000,80.0,-260.0,80,4000,80,-120.0,0.07239208699902519,4,0,0,30.285714285714285,66.38571428571427,80.0,80.0,4000,4000,20000,20000,-81.3,-81.3,-81.3,-81.3,20000,20000,4000,4000,0.1,6.936376571655273,0.001,0.0062500000931322575,4052.0,5.0,0.000501691538374871,0.3295566737651825,1.6069892644882202,20260,0.0,0.0,656.7317504882812,0.18808645009994507,152070.0,-0.06866708397865295,0.4642779529094696,4052,0.1,0.19074489630183097,20000,20260,0.0,152070.0,4000,4052
1,24000,False,6,f022e_00000,2025-06-01_15-43-35,1748781815,4.708332538604736,29.229414463043213,33832,Cerebro,127.0.0.1,29.229414463043213,6,4.841307740011374,1.8978666184028366e-05,4.841086280757669,1.1964074422186155,3.636589137885488,0.00597936792240126,300,52,-162.6,24000,80.0,-260.0,80,4000,80,-120.0,0.07474084900051821,4,0,0,20.633333333333333,66.33333333333333,80.0,80.0,4000,4000,24000,24000,-81.3,-81.3,-81.3,-81.3,24000,24000,4000,4000,0.1,8.472230911254883,0.001,0.0031250000465661287,4052.0,6.0,0.0007037746836431324,0.25654497742652893,1.6045035123825073,24312,0.0,0.0,374.2028503417969,0.07456010580062866,152070.0,-0.1621827930212021,0.5245943069458008,4052,0.1,0.19077313444392627,24000,24312,0.0,152070.0,4000,4052
1,28000,False,7,f022e_00000,2025-06-01_15-43-40,1748781820,5.189590215682983,34.419004678726196,33832,Cerebro,127.0.0.1,34.419004678726196,7,4.8446979936115255,1.8918879347919002e-05,4.8444757959499904,1.1955819267965304,3.6408053655066612,0.005977031242961582,348,48,-161.6,28000,80.0,-260.0,80,4000,80,-140.0,0.07696901599876582,4,0,0,26.85,66.5,80.0,80.0,4000,4000,28000,28000,-80.8,-80.8,-80.8,-80.8,28000,28000,4000,4000,0.1,9.070818901062012,0.001,0.0015625000232830644,4052.0,7.0,0.0006551457336172462,0.3824663460254669,1.6038422584533691,28364,0.0,0.0,535.3006591796875,0.19085592031478882,152070.0,0.06349597871303558,0.8101956248283386,4052,0.1,0.1908186132535485,28000,28364,0.0,152070.0,4000,4052
1,32000,False,8,f022e_00000,2025-06-01_15-43-45,1748781825,4.522520542144775,38.94152522087097,33832,Cerebro,127.0.0.1,38.94152522087097,8,4.841373111674966,1.8856690357327254e-05,4.841150352990392,1.1933133075286089,3.6397389388516106,0.005981931930532055,400,52,-159.6,32000,80.0,-260.0,80,4000,80,-100.0,0.07720108199864625,4,0,0,20.73333333333333,66.51666666666667,80.0,80.0,4000,4000,32000,32000,-79.8,-79.8,-79.8,-79.8,32000,32000,4000,4000,0.1,8.663949012756348,0.001,0.0007812500116415322,4052.0,8.0,0.0006599673070013523,0.6133555173873901,1.6006979942321777,32416,0.0,0.0,363.10992431640625,0.09943574666976929,152070.0,0.07372941076755524,0.7800555229187012,4052,0.1,0.19086197233353452,32000,32416,0.0,152070.0,4000,4052
1,36000,False,9,f022e_00000,2025-06-01_15-43-50,1748781830,5.394241809844971,44.33576703071594,33832,Cerebro,127.0.0.1,44.33576703071594,9,4.846807226558206,1.880012329471389e-05,4.8465839354604165,1.1931540864536763,3.6453119184628493,0.005998589610901658,448,48,-159.2,36000,80.0,-260.0,80,4000,80,-80.0,0.07751942700357177,4,0,0,30.74285714285714,67.04285714285716,80.0,80.0,4000,4000,36000,36000,-79.6,-79.6,-79.6,-79.6,36000,36000,4000,4000,0.1,8.207035064697266,0.001,0.0003906250058207661,4052.0,9.0,0.00020205856708344072,1.0557695627212524,1.601636528968811,36468,0.0,0.0,595.485595703125,0.19890904426574707,152070.0,-0.23362526297569275,0.42691484093666077,4052,0.1,0.19092089741059753,36000,36468,0.0,152070.0,4000,4052
1,40000,False,10,f022e_00000,2025-06-01_15-43-55,1748781835,4.587707042694092,48.923474073410034,33832,Cerebro,127.0.0.1,48.923474073410034,10,4.844128371292753,1.8759122016944055e-05,4.843904426106078,1.1914078435891362,3.644371462278484,0.0060037287147572515,500,52,-162.0,40000,80.0,-260.0,80,4000,80,-80.0,0.07963306300516707,4,0,0,22.657142857142855,67.19999999999999,80.0,80.0,4000,4000,40000,40000,-81.0,-81.0,-81.0,-81.0,40000,40000,4000,4000,0.1,8.280359268188477,0.001,0.00019531250291038305,4052.0,10.0,0.0003612776636146009,0.5522335171699524,1.6031427383422852,40520,0.0,0.0,506.7974548339844,-0.0034862756729125977,152070.0,0.025837436318397522,0.6935592293739319,4052,0.1,0.19097798106888358,40000,40520,0.0,152070.0,4000,4052
