num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_env_steps_sampled,env_runners/episode_return_min,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_duration_sec_mean,env_runners/episode_return_max,env_runners/episode_len_mean,env_runners/episode_len_max,env_runners/num_episodes_lifetime,env_runners/num_episodes,env_runners/episode_return_mean,env_runners/episode_len_min,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/module_episode_returns_mean/human,env_runners/module_episode_returns_mean/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_agent_steps_sampled/ai,env_runners/agent_episode_returns_mean/human,env_runners/agent_episode_returns_mean/ai,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/agent_steps/human,env_runners/agent_steps/ai,learners/ai/vf_loss,learners/ai/vf_loss_unclipped,learners/ai/curr_entropy_coeff,learners/ai/total_loss,learners/ai/weights_seq_no,learners/ai/default_optimizer_learning_rate,learners/ai/policy_loss,learners/ai/curr_kl_coeff,learners/ai/num_trainable_parameters,learners/ai/vf_explained_var,learners/ai/num_module_steps_trained_lifetime,learners/ai/mean_kl_loss,learners/ai/gradients_default_optimizer_global_norm,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/module_train_batch_size_mean,learners/ai/entropy,learners/ai/num_non_trainable_parameters,learners/ai/num_module_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/human/curr_entropy_coeff
1,4000,False,1,1561e_00000,2025-06-01_15-51-22,1748782282,4.772237777709961,4.772237777709961,44288,Cerebro,127.0.0.1,4.772237777709961,1,4.7618975000223145,2.0599982235580683e-05,4.76169839996146,1.2195195999811403,3.534077700052876,0.00637690001167357,4000,-160.0,4000,0.09103246874292381,-160.0,80.0,80,48,48,-160.0,80,4,0,0,24.928571428571427,66.65714285714286,4000,4000,-80.0,-80.0,4000,4000,4000,4000,-80.0,-80.0,4000,4000,80.0,80.0,5.661060333251953,82.78285217285156,0.1,0.3791269361972809,1.0,0.001,-0.027115298435091972,0.10000000149011612,152070,0.31696194410324097,4052,0.000809915887657553,0.5794183015823364,0.0,4052,1.6002572774887085,0,4052,0,4052,4000,152070,0.1853106000344269,4000,4052,0.1
1,8000,False,2,1561e_00000,2025-06-01_15-51-27,1748782287,4.490209341049194,9.262447118759155,44288,Cerebro,127.0.0.1,9.262447118759155,2,4.759064241022569,2.061098290141672e-05,4.758863059961586,1.2162668529810616,3.534462304052431,0.006395831011468545,4000,-160.0,8000,0.07823621699819341,-160.0,80.0,80,100,52,-160.0,80,4,0,0,17.366666666666667,66.68333333333334,8000,8000,-80.0,-80.0,8000,8000,4000,4000,-80.0,-80.0,4000,4000,80.0,80.0,8.08497142791748,290.0076904296875,0.1,0.528046727180481,2.0,0.001,-0.12040616571903229,0.05000000074505806,152070.0,0.15648239850997925,8104,0.0001513884199084714,0.18106691539287567,0.0,4052.0,1.600594401359558,0.0,4052,0.0,4052,8000,152070.0,0.18532561030442593,4000,8104,0.1
1,12000,False,3,1561e_00000,2025-06-01_15-51-31,1748782291,4.771866321563721,14.034313440322876,44288,Cerebro,127.0.0.1,14.034313440322876,3,4.759083122612197,2.0554873632499947e-05,4.758880625362094,1.2151652254513172,3.5355805900120174,0.006393736701516901,4000,-260.0,12000,0.0744174740021117,-160.0,80.0,80,148,48,-161.0,80,4,0,0,24.685714285714287,66.75714285714287,12000,12000,-80.5,-80.5,12000,12000,4000,4000,-80.5,-80.5,4000,4000,80.0,80.0,7.651892185211182,383.017578125,0.1,0.777756929397583,3.0,0.001,0.17258904874324799,0.02500000037252903,152070.0,0.21790045499801636,12156,0.0002942298597190529,0.8954159617424011,0.0,4052.0,1.6003612279891968,0.0,4052,0.0,4052,12000,152070.0,0.1853390412390232,4000,12156,0.1
1,16000,False,4,1561e_00000,2025-06-01_15-51-36,1748782296,4.603071689605713,18.63738512992859,44288,Cerebro,127.0.0.1,18.63738512992859,4,4.757263576386449,2.0494324836123268e-05,4.757060025108684,1.2124871801967676,3.5364315821118093,0.006392125334108132,4000,-260.0,16000,0.07535877400194295,-160.0,80.0,80,200,52,-164.0,80,4,0,0,20.557142857142857,66.42857142857143,16000,16000,-82.0,-82.0,16000,16000,4000,4000,-82.0,-82.0,4000,4000,80.0,80.0,7.047623634338379,464.8954162597656,0.1,0.7117111682891846,4.0,0.001,0.1668083369731903,0.012500000186264515,152070.0,0.12760573625564575,16208,0.0002296044840477407,0.43584781885147095,0.0,4052.0,1.5986526012420654,0.0,4052,0.0,4052,16000,152070.0,0.18537010396389897,4000,16208,0.1
1,20000,False,5,1561e_00000,2025-06-01_15-51-41,1748782301,4.881471395492554,23.518856525421143,44288,Cerebro,127.0.0.1,23.518856525421143,5,4.758398759622704,2.043038149725238e-05,4.758194177857072,1.211023009394815,3.539021393290521,0.006391478080607072,4000,-260.0,20000,0.07336907300166785,-80.0,80.0,80,248,48,-162.2,80,4,0,0,28.83333333333334,66.5,20000,20000,-81.1,-81.1,20000,20000,4000,4000,-81.1,-81.1,4000,4000,80.0,80.0,7.990697860717773,487.30078125,0.1,0.6791768670082092,5.0,0.001,0.04023759439587593,0.0062500000931322575,152070.0,0.055339694023132324,20260,0.00038993946509435773,0.2660413682460785,0.0,4052.0,1.6013541221618652,0.0,4052,0.0,4052,20000,152070.0,0.18540112590015131,4000,20260,0.1
1,24000,False,6,1561e_00000,2025-06-01_15-51-46,1748782306,4.705564498901367,28.22442102432251,44288,Cerebro,127.0.0.1,28.22442102432251,6,4.757764116026208,2.03520774775528e-05,4.757558617078372,1.2084758173007726,3.5409127323578273,0.006400909300082164,4000,-260.0,24000,0.07487138600146864,-80.0,80.0,80,300,52,-160.2,80,4,0,0,23.442857142857147,66.58571428571429,24000,24000,-80.1,-80.1,24000,24000,4000,4000,-80.1,-80.1,4000,4000,80.0,80.0,7.319019794464111,595.7249145507812,0.1,0.6166062355041504,6.0,0.001,0.044917721301317215,0.0031250000465661287,152070.0,0.10699266195297241,24312,0.00022402350441552699,0.7433017492294312,0.0,4052.0,1.6021475791931152,0.0,4052,0.0,4052,24000,152070.0,0.18543068742727967,4000,24312,0.1
1,28000,False,7,1561e_00000,2025-06-01_15-51-51,1748782311,5.346472978591919,33.57089400291443,44288,Cerebro,127.0.0.1,33.57089400291443,7,4.763559354866334,2.0410556951544708e-05,4.763352100907487,1.206007233127731,3.549164996034163,0.006403323207034262,4000,-260.0,28000,0.07068382600438781,-100.0,80.0,80,348,48,-160.4,80,4,0,0,31.557142857142857,67.00000000000001,28000,28000,-80.2,-80.2,28000,28000,4000,4000,-80.2,-80.2,4000,4000,80.0,80.0,7.709273338317871,679.7774658203125,0.1,0.6066243648529053,7.0,0.001,-0.0040380037389695644,0.0015625000232830644,152070.0,0.08042794466018677,28364,0.0002823261311277747,0.19940634071826935,0.0,4052.0,1.602658987045288,0.0,4052,0.0,4052,28000,152070.0,0.18547910019127714,4000,28364,0.1
1,32000,False,8,1561e_00000,2025-06-01_15-51-56,1748782316,4.757157564163208,38.32805156707764,44288,Cerebro,127.0.0.1,38.32805156707764,8,4.763411780317828,2.0344451268676128e-05,4.763203909898466,1.2057242177968894,3.5492959870739034,0.006402425974917293,4000,-260.0,32000,0.06979201500071212,-100.0,80.0,80,400,52,-159.8,80,4,0,0,19.928571428571427,67.10000000000001,32000,32000,-79.9,-79.9,32000,32000,4000,4000,-79.9,-79.9,4000,4000,80.0,80.0,7.857240200042725,696.45751953125,0.1,0.5481088161468506,8.0,0.001,-0.07757587730884552,0.0007812500116415322,152070.0,0.1326146125793457,32416,0.0005543415900319815,1.3709455728530884,0.0,4052.0,1.6004029512405396,0.0,4052,0.0,4052,32000,152070.0,0.18552515136125539,4000,32416,0.1
1,36000,False,9,1561e_00000,2025-06-01_15-52-01,1748782321,5.108558177947998,43.436609745025635,44288,Cerebro,127.0.0.1,43.436609745025635,9,4.7667324485141425,2.0289006718781166e-05,4.7665226087995824,1.2034362956191162,3.5548895302026975,0.006401557714691708,4000,-260.0,36000,0.07078294599719812,-100.0,80.0,80,448,48,-160.0,80,4,0,0,27.371428571428574,67.07142857142857,36000,36000,-80.0,-80.0,36000,36000,4000,4000,-80.0,-80.0,4000,4000,80.0,80.0,8.246304512023926,597.0679321289062,0.1,0.6602562069892883,9.0,0.001,-0.004269448108971119,0.0003906250058207661,152070.0,0.11155581474304199,36468,0.00030882947612553835,0.6627240777015686,0.0,4052.0,1.6010503768920898,0.0,4052,0.0,4052,36000,152070.0,0.18558624673781907,4000,36468,0.1
1,40000,False,10,1561e_00000,2025-06-01_15-52-06,1748782326,4.801961898803711,48.238571643829346,44288,Cerebro,127.0.0.1,48.238571643829346,10,4.766988572028638,2.02271165610837e-05,4.766777748711622,1.2009127726629276,3.5576523449003594,0.0064089191373849315,4000,-260.0,40000,0.0713473960000556,-140.0,80.0,80,500,52,-160.6,80,4,0,0,22.571428571428573,66.97142857142858,40000,40000,-80.3,-80.3,40000,40000,4000,4000,-80.3,-80.3,4000,4000,80.0,80.0,8.788750648498535,601.9075317382812,0.1,0.7480944991111755,10.0,0.001,0.029487965628504753,0.00019531250291038305,152070.0,0.060953378677368164,40520,0.0005153638776391745,0.34125879406929016,0.0,4052.0,1.6026870012283325,0.0,4052,0.0,4052,40000,152070.0,0.18564706883171306,4000,40520,0.1
