num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_len_max,env_runners/episode_len_mean,env_runners/episode_return_min,env_runners/num_episodes,env_runners/num_episodes_lifetime,env_runners/episode_return_max,env_runners/num_env_steps_sampled,env_runners/episode_len_min,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_duration_sec_mean,env_runners/episode_return_mean,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/agent_steps/human,env_runners/agent_steps/ai,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,learners/ai/num_trainable_parameters,learners/ai/entropy,learners/ai/vf_loss_unclipped,learners/ai/vf_explained_var,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/module_train_batch_size_mean,learners/ai/default_optimizer_learning_rate,learners/ai/weights_seq_no,learners/ai/curr_entropy_coeff,learners/ai/curr_kl_coeff,learners/ai/gradients_default_optimizer_global_norm,learners/ai/vf_loss,learners/ai/mean_kl_loss,learners/ai/num_module_steps_trained,learners/ai/total_loss,learners/ai/num_module_steps_trained_lifetime,learners/ai/policy_loss,learners/ai/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_trainable_parameters,learners/human/curr_entropy_coeff
1,4000,False,1,74bac_00000,2025-06-01_15-54-02,1748782442,4.644572734832764,4.644572734832764,58128,Cerebro,127.0.0.1,4.644572734832764,1,4.634470799996052,1.9200029782950878e-05,4.634285599982832,1.0997059000073932,3.5265159999835305,0.0063670999952591956,80,80.0,-160.0,48,48,-100.0,4000,80,4000,0.08326831874486136,-158.33333333333334,4,0,0,18.900000000000002,66.95,0.0,0.0,4000,4000,80.0,80.0,4000,4000,4000,4000,-79.16666666666667,-79.16666666666667,-79.16666666666667,-79.16666666666667,4000,4000,152070,1.6062277555465698,121.10738372802734,0.07846540212631226,0.0,4052,0.001,1.0,0.1,0.10000000149011612,0.13367865979671478,6.1899333000183105,0.00035027071135118604,4052,0.5044754147529602,4052,0.046034764498472214,0,4052,4052,4000,0,0.19847820000723004,4000,152070,0.1
1,8000,False,2,74bac_00000,2025-06-01_15-54-07,1748782447,5.085394620895386,9.72996735572815,58128,Cerebro,127.0.0.1,9.72996735572815,2,4.638871797996107,1.9178029615432026e-05,4.638685391983017,1.0977309680072358,3.532868728983449,0.006379701995756477,80,80.0,-360.0,52,100,-100.0,4000,80,8000,0.07458650699991268,-161.0,4,0,0,23.314285714285713,66.98571428571428,0.0,0.0,4000,4000,80.0,80.0,8000,8000,8000,8000,-80.5,-80.5,-80.5,-80.5,4000,4000,152070.0,1.606656551361084,396.5111999511719,-0.041480064392089844,0.0,4052.0,0.001,2.0,0.1,0.05000000074505806,0.31338730454444885,8.029006958007812,0.0005729111726395786,4052,0.5001370310783386,8104,-0.14215527474880219,0.0,4052,8104,8000,0.0,0.1984925696972292,4000,152070.0,0.1
1,12000,False,3,74bac_00000,2025-06-01_15-54-12,1748782452,4.814345836639404,14.544313192367554,58128,Cerebro,127.0.0.1,14.544313192367554,3,4.640533048016414,1.9139249320141973e-05,4.6403451620630225,1.0979309533271067,3.5343272336932245,0.006375797975505702,80,80.0,-360.0,48,148,-100.0,4000,80,12000,0.07454449900775216,-162.2,4,0,0,27.08333333333334,67.0,0.0,0.0,4000,4000,80.0,80.0,12000,12000,12000,12000,-81.1,-81.1,-81.1,-81.1,4000,4000,152070.0,1.6061863899230957,447.22540283203125,0.19744986295700073,0.0,4052.0,0.001,3.0,0.1,0.02500000037252903,0.3995140790939331,8.386759757995605,0.000610926712397486,4052,0.5371897220611572,12156,-0.14089807868003845,0.0,4052,12156,12000,0.0,0.19850525629342955,4000,152070.0,0.1
1,16000,False,4,74bac_00000,2025-06-01_15-54-17,1748782457,5.16450309753418,19.708816289901733,58128,Cerebro,127.0.0.1,19.708816289901733,4,4.6456434755365645,1.907785665267147e-05,4.645454493442754,1.0972090837936768,3.540135106356187,0.0063918789959962015,80,80.0,-260.0,52,200,-100.0,4000,80,16000,0.07981203300470952,-163.4,4,0,0,30.75,66.94999999999999,0.0,0.0,4000,4000,80.0,80.0,16000,16000,16000,16000,-81.7,-81.7,-81.7,-81.7,4000,4000,152070.0,1.6067988872528076,529.5531005859375,0.0566401481628418,0.0,4052.0,0.001,4.0,0.1,0.012500000186264515,0.3716494143009186,7.910040378570557,0.00029096484649926424,4052,0.6250720620155334,16208,-0.005259294528514147,0.0,4052,16208,16000,0.0,0.19851697010073827,4000,152070.0,0.1
1,20000,False,5,74bac_00000,2025-06-01_15-54-22,1748782462,5.021616220474243,24.730432510375977,58128,Cerebro,127.0.0.1,24.730432510375977,5,4.649292006781271,1.9016077904261183e-05,4.649101774508353,1.0960886559554577,3.544884447292795,0.006398927206246898,80,80.0,-260.0,48,248,-160.0,4000,80,20000,0.07543820099846926,-163.0,4,0,0,29.36666666666667,66.53333333333333,0.0,0.0,4000,4000,80.0,80.0,20000,20000,20000,20000,-81.5,-81.5,-81.5,-81.5,4000,4000,152070.0,1.6047663688659668,566.7554931640625,0.13478684425354004,0.0,4052.0,0.001,5.0,0.1,0.0062500000931322575,0.6012241244316101,7.966785430908203,0.0005787148838862777,4052,0.5968262553215027,20260,-0.03938281908631325,0.0,4052,20260,20000,0.0,0.19854323892627396,4000,152070.0,0.1
1,24000,False,6,74bac_00000,2025-06-01_15-54-28,1748782468,5.173980236053467,29.904412746429443,58128,Cerebro,127.0.0.1,29.904412746429443,6,4.654411987713647,1.8952917510182617e-05,4.654220279763349,1.0960144593960917,3.550047585819702,0.006413113934572767,80,80.0,-260.0,52,300,-160.0,4000,80,24000,0.07726427499728743,-161.0,4,0,0,29.3,66.51428571428572,0.0,0.0,4000,4000,80.0,80.0,24000,24000,24000,24000,-80.5,-80.5,-80.5,-80.5,4000,4000,152070.0,1.6050220727920532,519.3568115234375,0.21084052324295044,0.0,4052.0,0.001,6.0,0.1,0.0031250000465661287,0.8148983716964722,8.59255313873291,0.0003897635033354163,4052,0.598702609539032,24312,-0.10005293041467667,0.0,4052,24312,24000,0.0,0.19856782010828747,4000,152070.0,0.1
1,28000,False,7,74bac_00000,2025-06-01_15-54-32,1748782472,4.777781248092651,34.682193994522095,58128,Cerebro,127.0.0.1,34.682193994522095,7,4.655528609836373,1.889338874288832e-05,4.655335969965421,1.0948881128020214,3.5522752449617205,0.006421064795196708,80,80.0,-260.0,48,348,-80.0,4000,80,28000,0.07666947700141463,-160.2,4,0,0,28.68,66.6,0.0,0.0,4000,4000,80.0,80.0,28000,28000,28000,28000,-80.1,-80.1,-80.1,-80.1,4000,4000,152070.0,1.604717493057251,8142.0966796875,-0.21551859378814697,0.0,4052.0,0.001,7.0,0.1,0.0015625000232830644,0.12518177926540375,10.0,0.0006326005677692592,4052,0.9393548369407654,28364,0.09982465952634811,0.0,4052,28364,28000,0.0,0.19859211242276736,4000,152070.0,0.1
1,32000,False,8,74bac_00000,2025-06-01_15-54-37,1748782477,4.9139158725738525,39.59610986709595,58128,Cerebro,127.0.0.1,39.59610986709595,8,4.658027005737804,1.8843454749720796e-05,4.6578330422658425,1.09375431267398,3.5559031075125023,0.006418696147240262,80,80.0,-260.0,52,400,-80.0,4000,80,32000,0.0729290030041011,-161.2,4,0,0,25.357142857142858,66.60000000000001,0.0,0.0,4000,4000,80.0,80.0,32000,32000,32000,32000,-80.6,-80.6,-80.6,-80.6,4000,4000,152070.0,1.6039239168167114,2413.7939453125,-1.0,0.0,4052.0,0.001,8.0,0.1,0.0007812500116415322,0.1003052368760109,10.0,0.0005064141587354243,4052,0.7300119996070862,32416,-0.10959643870592117,0.0,4052,32416,32000,0.0,0.1986329003189484,4000,152070.0,0.1
1,36000,False,9,74bac_00000,2025-06-01_15-54-42,1748782482,4.58626651763916,44.18237638473511,58128,Cerebro,127.0.0.1,44.18237638473511,9,4.6572013756803665,1.8784020602416625e-05,4.657006175842807,1.0927752155474773,3.5560528044375492,0.0064141551859221765,80,80.0,-260.0,48,448,-140.0,4000,80,36000,0.0738155889994232,-162.8,4,0,0,20.383333333333333,66.60000000000001,0.0,0.0,4000,4000,80.0,80.0,36000,36000,36000,36000,-81.4,-81.4,-81.4,-81.4,4000,4000,152070.0,1.6005558967590332,2957.189697265625,-1.0,0.0,4052.0,0.001,9.0,0.1,0.0003906250058207661,0.07858292758464813,10.0,0.0007482039509341121,4052,0.8498830199241638,36468,0.009937996044754982,0.0,4052,36468,36000,0.0,0.19867305451596462,4000,152070.0,0.1
1,40000,False,10,74bac_00000,2025-06-01_15-54-47,1748782487,5.128334283828735,49.31071066856384,58128,Cerebro,127.0.0.1,49.31071066856384,10,4.66179190792354,1.8726180804199988e-05,4.661595824084299,1.092285861391972,3.56111674739322,0.006421791634046124,80,80.0,-260.0,52,500,-140.0,4000,80,40000,0.07421727299748454,-160.8,4,0,0,28.433333333333334,66.78333333333335,0.0,0.0,4000,4000,80.0,80.0,40000,40000,40000,40000,-80.4,-80.4,-80.4,-80.4,4000,4000,152070.0,1.5985496044158936,2888.56787109375,-1.0,0.0,4052.0,0.001,10.0,0.1,0.00019531250291038305,0.14787031710147858,10.0,0.0005533029325306416,4052,0.8367412090301514,40520,-0.003404058516025543,0.0,4052,40520,40000,0.0,0.1987115688090125,4000,152070.0,0.1
