num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_duration_sec_mean,env_runners/episode_return_max,env_runners/num_env_steps_sampled,env_runners/episode_return_mean,env_runners/num_episodes,env_runners/episode_len_mean,env_runners/episode_len_min,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_return_min,env_runners/episode_len_max,env_runners/num_episodes_lifetime,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/agent_episode_returns_mean/human,env_runners/agent_episode_returns_mean/ai,env_runners/agent_steps/ai,env_runners/agent_steps/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/ai/entropy,learners/ai/policy_loss,learners/ai/curr_kl_coeff,learners/ai/gradients_default_optimizer_global_norm,learners/ai/num_trainable_parameters,learners/ai/vf_loss_unclipped,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/curr_entropy_coeff,learners/ai/num_module_steps_trained_lifetime,learners/ai/total_loss,learners/ai/default_optimizer_learning_rate,learners/ai/weights_seq_no,learners/ai/num_module_steps_trained,learners/ai/mean_kl_loss,learners/ai/module_train_batch_size_mean,learners/ai/num_non_trainable_parameters,learners/ai/vf_loss,learners/ai/vf_explained_var,learners/human/curr_entropy_coeff
1,4000,False,1,4766f_00000,2025-06-01_16-07-05,1748783225,4.529791355133057,4.529791355133057,50972,Cerebro,127.0.0.1,4.529791355133057,1,4.520625600009225,1.8600025214254856e-05,4.520426599949133,1.085105800011661,3.425278300011996,0.007213699980638921,0.08213046875365156,-80.0,4000,-162.5,48,80.0,80,4000,-260.0,80,48,4,0,0,25.03333333333333,65.21666666666667,0.0,0.0,4000,4000,-81.25,-81.25,80.0,80.0,4000,4000,4000,4000,4000,4000,-81.25,-81.25,0.191042699967511,4000,4000,152070,4052,4052,0,1.6087591648101807,0.03968131169676781,0.10000000149011612,0.1811024248600006,152070,147.42820739746094,0.0,0.1,4052,0.50260329246521,0.001,1.0,4052,0.00041108205914497375,4052,0,6.237157344818115,-0.3444269895553589,0.1
1,8000,False,2,4766f_00000,2025-06-01_16-07-10,1748783230,4.780593633651733,9.31038498878479,50972,Cerebro,127.0.0.1,9.31038498878479,2,4.523133962008869,1.8591025145724416e-05,4.522934131949441,1.0830053150112506,3.4298942770122087,0.007214854980702512,0.07325556500290986,-80.0,4000,-161.2,52,80.0,80,8000,-260.0,80,100,4,0,0,22.733333333333334,65.21666666666665,0.0,0.0,8000,8000,-80.6,-80.6,80.0,80.0,4000,4000,4000,4000,8000,8000,-80.6,-80.6,0.1910555923975131,4000,8000,152070.0,8104,4052,0.0,1.6085926294326782,-0.32711589336395264,0.05000000074505806,0.2309914380311966,152070.0,425.76153564453125,0.0,0.1,8104,0.3118804097175598,0.001,2.0,4052,0.0005109867197461426,4052.0,0.0,7.998044490814209,0.0716506838798523,0.1
1,12000,False,3,4766f_00000,2025-06-01_16-07-14,1748783234,4.480081558227539,13.790466547012329,50972,Cerebro,127.0.0.1,13.790466547012329,3,4.522614269388711,1.8542114773299547e-05,4.522413580630242,1.0826337768612022,3.4297633432422185,0.007204513431206578,0.06940179900091607,-140.0,4000,-159.8,48,80.0,80,12000,-160.0,80,148,4,0,0,27.479999999999997,65.22,0.0,0.0,12000,12000,-79.9,-79.9,80.0,80.0,4000,4000,4000,4000,12000,12000,-79.9,-79.9,0.19106901399891835,4000,12000,152070.0,12156,4052,0.0,1.607942819595337,0.276934951543808,0.02500000037252903,0.2919631004333496,152070.0,215.25457763671875,0.0,0.1,12156,0.9258687496185303,0.001,3.0,4052,0.00036164335324428976,4052.0,0.0,8.097100257873535,-0.0107269287109375,0.1
1,16000,False,4,4766f_00000,2025-06-01_16-07-19,1748783239,4.6531665325164795,18.44363307952881,50972,Cerebro,127.0.0.1,18.44363307952881,4,4.523821101694595,1.846869331423659e-05,4.523619695823923,1.0807465820927609,3.4328672308096433,0.007199950296762109,0.0706272180005908,-140.0,4000,-160.6,52,80.0,80,16000,-260.0,80,200,4,0,0,22.983333333333334,65.0,0.0,0.0,16000,16000,-80.3,-80.3,80.0,80.0,4000,4000,4000,4000,16000,16000,-80.3,-80.3,0.1910794766290585,4000,16000,152070.0,16208,4052,0.0,1.6074784994125366,0.037855539470911026,0.012500000186264515,0.5085999965667725,152070.0,296.9909362792969,0.0,0.1,16208,0.7539238333702087,0.001,4.0,4052,0.0003336203226353973,4052.0,0.0,8.768077850341797,-0.06527984142303467,0.1
1,20000,False,5,4766f_00000,2025-06-01_16-07-23,1748783243,4.657614469528198,23.101247549057007,50972,Cerebro,127.0.0.1,23.101247549057007,5,4.525069429677829,1.8408006161138183e-05,4.524867297865373,1.0799005292719615,3.4349760935011147,0.007189754794082736,0.07084275900095235,-140.0,4000,-162.6,48,80.0,80,20000,-260.0,80,248,4,0,0,22.86666666666667,64.88333333333334,0.0,0.0,20000,20000,-81.3,-81.3,80.0,80.0,4000,4000,4000,4000,20000,20000,-81.3,-81.3,0.1911066003751961,4000,20000,152070.0,20260,4052,0.0,1.6059693098068237,0.054850030690431595,0.0062500000931322575,0.4241235554218292,152070.0,282.7305908203125,0.0,0.1,20260,0.7461428046226501,0.001,5.0,4052,0.0008808281272649765,4052.0,0.0,8.518787384033203,0.07743597030639648,0.1
1,24000,False,6,4766f_00000,2025-06-01_16-07-28,1748783248,4.668397426605225,27.76964497566223,50972,Cerebro,127.0.0.1,27.76964497566223,6,4.526402125380628,1.8334926362658953e-05,4.526199289887084,1.0778592959790498,3.438364685566126,0.007178652246314129,0.06946323100477457,-120.0,4000,-164.0,52,80.0,80,24000,-260.0,80,300,4,0,0,23.3,64.81666666666668,0.0,0.0,24000,24000,-82.0,-82.0,80.0,80.0,4000,4000,4000,4000,24000,24000,-82.0,-82.0,0.19113213089874634,4000,24000,152070.0,24312,4052,0.0,1.6061170101165771,0.014753647148609161,0.0031250000465661287,0.26084330677986145,152070.0,432.7972412109375,0.0,0.1,24312,0.7245107293128967,0.001,6.0,4052,0.00038021960062906146,4052.0,0.0,8.70366382598877,0.11050021648406982,0.1
1,28000,False,7,4766f_00000,2025-06-01_16-07-33,1748783253,4.524516344070435,32.294161319732666,50972,Cerebro,127.0.0.1,32.294161319732666,7,4.526296314126612,1.8272576856232843e-05,4.52609258198785,1.0764676530194486,3.439654280709931,0.0071756107234403855,0.0671394210041035,-120.0,4000,-165.0,48,80.0,80,28000,-260.0,80,348,4,0,0,22.53333333333333,64.84999999999998,0.0,0.0,28000,28000,-82.5,-82.5,80.0,80.0,4000,4000,4000,4000,28000,28000,-82.5,-82.5,0.19115646655178617,4000,28000,152070.0,28364,4052,0.0,1.6057755947113037,0.28815680742263794,0.0015625000232830644,2.1992390155792236,152070.0,426.7554626464844,0.0,0.1,28364,0.9212571382522583,0.001,7.0,4052,0.00044433772563934326,4052.0,0.0,7.936766624450684,0.023008286952972412,0.1
1,32000,False,8,4766f_00000,2025-06-01_16-07-38,1748783258,5.13573956489563,37.429900884628296,50972,Cerebro,127.0.0.1,37.429900884628296,8,4.532293864985078,1.8211851434562095e-05,4.532089495167708,1.0775876154893085,3.4445466579027944,0.007164355616467847,0.0668981920008082,-140.0,4000,-163.8,52,80.0,80,32000,-260.0,80,400,4,0,0,24.16666666666667,64.89999999999999,0.0,0.0,32000,32000,-81.9,-81.9,80.0,80.0,4000,4000,4000,4000,32000,32000,-81.9,-81.9,0.19119579619867758,4000,32000,152070.0,32416,4052,0.0,1.6051409244537354,0.096610888838768,0.0007812500116415322,0.19011636078357697,152070.0,370.3514404296875,0.0,0.1,32416,0.7351494431495667,0.001,8.0,4052,0.000334090378601104,4052.0,0.0,7.990520477294922,0.25016915798187256,0.1
1,36000,False,9,4766f_00000,2025-06-01_16-07-42,1748783262,4.296419382095337,41.72632026672363,50972,Cerebro,127.0.0.1,41.72632026672363,9,4.529837124334911,1.851873256916747e-05,4.529631445216376,1.0764832783345346,3.4432046303237356,0.007150688060546966,0.06768256100127473,-120.0,4000,-160.6,48,80.0,80,36000,-260.0,80,448,4,0,0,18.800000000000004,64.84,0.0,0.0,36000,36000,-80.3,-80.3,80.0,80.0,4000,4000,4000,4000,36000,36000,-80.3,-80.3,0.1912315999959756,4000,36000,152070.0,36468,4052,0.0,1.6054450273513794,0.061736203730106354,0.0003906250058207661,0.20282182097434998,152070.0,501.9256591796875,0.0,0.1,36468,0.7237811088562012,0.001,9.0,4052,0.0005103379371576011,4052.0,0.0,8.225890159606934,0.16515648365020752,0.1
1,40000,False,10,4766f_00000,2025-06-01_16-07-47,1748783267,4.9293532371521,46.65567350387573,50972,Cerebro,127.0.0.1,46.65567350387573,10,4.533711950091617,1.8592545469399752e-05,4.533504490764154,1.0748965875516445,3.448674121020467,0.007143043180184304,0.06923347300093155,-120.0,4000,-159.6,52,80.0,80,40000,-260.0,80,500,4,0,0,27.316666666666663,65.11666666666666,0.0,0.0,40000,40000,-79.8,-79.8,80.0,80.0,4000,4000,4000,4000,40000,40000,-79.8,-79.8,0.19126514462770702,4000,40000,152070.0,40520,4052,0.0,1.6050240993499756,-0.016713719815015793,0.00019531250291038305,0.19829727709293365,152070.0,538.6749267578125,0.0,0.1,40520,0.6318942308425903,0.001,10.0,4052,0.00020085465803276747,4052.0,0.0,8.091102600097656,0.09798157215118408,0.1
