num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_return_mean,env_runners/num_env_steps_sampled_lifetime,env_runners/num_env_steps_sampled,env_runners/episode_return_min,env_runners/episode_duration_sec_mean,env_runners/num_episodes,env_runners/episode_len_mean,env_runners/episode_len_max,env_runners/episode_len_min,env_runners/num_episodes_lifetime,env_runners/episode_return_max,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/agent_steps/ai,env_runners/agent_steps/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/agent_episode_returns_mean/human,env_runners/agent_episode_returns_mean/ai,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,learners/ai/mean_kl_loss,learners/ai/module_train_batch_size_mean,learners/ai/vf_loss_unclipped,learners/ai/weights_seq_no,learners/ai/vf_explained_var,learners/ai/default_optimizer_learning_rate,learners/ai/vf_loss,learners/ai/entropy,learners/ai/policy_loss,learners/ai/num_trainable_parameters,learners/ai/num_module_steps_trained_lifetime,learners/ai/gradients_default_optimizer_global_norm,learners/ai/num_non_trainable_parameters,learners/ai/curr_entropy_coeff,learners/ai/total_loss,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/num_module_steps_trained,learners/ai/curr_kl_coeff,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_module_steps_trained,learners/human/curr_entropy_coeff
1,4000,False,1,f0d76_00000,2025-06-01_16-33-18,1748784798,4.764474391937256,4.764474391937256,18376,Cerebro,127.0.0.1,4.764474391937256,1,4.75347920000786,1.9900035113096237e-05,4.753275599970948,1.2179097999469377,3.525112400006037,0.008166100014932454,-160.41666666666666,4000,4000,-260.0,0.09246487917092357,48,80.0,80,80,48,-80.0,4,0,0,18.283333333333335,64.98333333333333,0.0,0.0,4000,4000,-80.20833333333333,-80.20833333333333,4000,4000,80.0,80.0,4000,4000,-80.20833333333333,-80.20833333333333,4000,4000,0.0005943163996562362,4052,108.78514862060547,1.0,0.025952696800231934,0.0005,6.143337726593018,1.6067332029342651,0.11339053511619568,152070,4052,0.4860095977783203,0,0.2,0.4064965546131134,0.0,4052,0.10000000149011612,152070,4052,4000,4000,0,0.19423570000799373,4052,0.2
1,8000,False,2,f0d76_00000,2025-06-01_16-33-22,1748784802,4.697414398193359,9.461888790130615,18376,Cerebro,127.0.0.1,9.461888790130615,2,4.752817690007505,2.005403453949839e-05,4.752611640971154,1.214406688947347,3.5279619460063985,0.008154428014531732,-160.2,8000,4000,-260.0,0.07736454800469801,52,80.0,80,80,100,-80.0,4,0,0,21.500000000000004,64.8,0.0,0.0,4000,4000,-80.1,-80.1,8000,8000,80.0,80.0,8000,8000,-80.1,-80.1,4000,4000,0.0005878958036191761,4052.0,289.166259765625,2.0,-0.18815851211547852,0.0005,8.072098731994629,1.607082724571228,0.0010402619373053312,152070.0,8104,0.23466452956199646,0.0,0.2,0.48689237236976624,0.0,4052,0.05000000074505806,152070.0,8104,4000,8000,0.0,0.19425020291799447,4052,0.2
1,12000,False,3,f0d76_00000,2025-06-01_16-33-27,1748784807,4.54171347618103,14.003602266311646,18376,Cerebro,127.0.0.1,14.003602266311646,3,4.750598385107162,2.0208493986865506e-05,4.7503913115615495,1.2120222010578203,3.528147363546583,0.008134174734260887,-160.2,12000,4000,-260.0,0.06684401100385003,48,80.0,80,80,148,-120.0,4,0,0,29.52,64.8,0.0,0.0,4000,4000,-80.1,-80.1,12000,12000,80.0,80.0,12000,12000,-80.1,-80.1,4000,4000,0.0006418036646209657,4052.0,452.5567626953125,3.0,0.026637494564056396,0.0005,8.40316390991211,1.6076924800872803,-0.04819222539663315,152070.0,12156,0.43927475810050964,0.0,0.2,0.47061774134635925,0.0,4052,0.02500000037252903,152070.0,12156,4000,12000,0.0,0.19426455424979025,4052,0.2
1,16000,False,4,f0d76_00000,2025-06-01_16-33-31,1748784811,4.447709083557129,18.451311349868774,18376,Cerebro,127.0.0.1,18.451311349868774,4,4.747454664256312,2.0122408766124862e-05,4.74724691044558,1.2086072310476057,3.5284299699111576,0.008117422986883671,-160.6,16000,4000,-260.0,0.06769636900164187,52,80.0,80,80,200,-120.0,4,0,0,17.133333333333333,64.8,0.0,0.0,4000,4000,-80.3,-80.3,16000,16000,80.0,80.0,16000,16000,-80.3,-80.3,4000,4000,0.0005513827200047672,4052.0,544.4711303710938,4.0,-0.24003946781158447,0.0005,8.76784896850586,1.606920599937439,-0.14402815699577332,152070.0,16208,0.49052149057388306,0.0,0.2,0.41138651967048645,0.0,4052,0.012500000186264515,152070.0,16208,4000,16000,0.0,0.19427751746466201,4052,0.2
1,20000,False,5,f0d76_00000,2025-06-01_16-33-36,1748784816,4.9070422649383545,23.35835361480713,18376,Cerebro,127.0.0.1,23.35835361480713,5,4.748924778614026,2.0063184595568453e-05,4.748715901340893,1.206314595737028,3.5321997442119146,0.008107933757454009,-161.2,20000,4000,-260.0,0.06869159899943042,48,80.0,80,80,248,-80.0,4,0,0,26.150000000000002,64.83333333333333,0.0,0.0,4000,4000,-80.6,-80.6,20000,20000,80.0,80.0,20000,20000,-80.6,-80.6,4000,4000,0.0007523764506913722,4052.0,679.4144287109375,5.0,-0.11402237415313721,0.0005,8.509921073913574,1.6080526113510132,-0.12063844501972198,152070.0,20260,0.24399736523628235,0.0,0.2,0.4087524116039276,0.0,4052,0.0062500000931322575,152070.0,20260,4000,20000,0.0,0.19430840364981244,4052,0.2
1,24000,False,6,f0d76_00000,2025-06-01_16-33-41,1748784821,4.8530895709991455,28.211443185806274,18376,Cerebro,127.0.0.1,28.211443185806274,6,4.74987775382776,1.9983552506813248e-05,4.74966813932796,1.2060269767795029,3.533448182769688,0.008096413419846299,-160.0,24000,4000,-260.0,0.06928010100033134,52,80.0,80,80,300,-80.0,4,0,0,20.183333333333334,64.96666666666667,0.0,0.0,4000,4000,-80.0,-80.0,24000,24000,80.0,80.0,24000,24000,-80.0,-80.0,4000,4000,0.0003758772509172559,4052.0,558.697998046875,6.0,0.07841527462005615,0.0005,8.51478385925293,1.6072853803634644,0.0038806938100606203,152070.0,24312,0.9880687594413757,0.0,0.2,0.5339043140411377,0.0,4052,0.0031250000465661287,152070.0,24312,4000,24000,0.0,0.19433767921951775,4052,0.2
1,28000,False,7,f0d76_00000,2025-06-01_16-33-47,1748784827,5.310672998428345,33.52211618423462,18376,Cerebro,127.0.0.1,33.52211618423462,7,4.755398964289642,1.9910717366709164e-05,4.7551887869349665,1.2040471820115577,3.540951762941637,0.008090615285817539,-160.6,28000,4000,-260.0,0.07006986000109464,48,80.0,80,80,348,-120.0,4,0,0,31.728571428571428,65.35714285714285,0.0,0.0,4000,4000,-80.3,-80.3,28000,28000,80.0,80.0,28000,28000,-80.3,-80.3,4000,4000,0.0004409412504173815,4052.0,541.3067016601562,7.0,0.15316259860992432,0.0005,7.64832878112793,1.60830819606781,0.05349509045481682,152070.0,28364,0.29409560561180115,0.0,0.2,0.4966677129268646,0.0,4052,0.0015625000232830644,152070.0,28364,4000,28000,0.0,0.19436718130746344,4052,0.2
1,32000,False,8,f0d76_00000,2025-06-01_16-33-51,1748784831,4.730157136917114,38.25227332115173,18376,Cerebro,127.0.0.1,38.25227332115173,8,4.755040891646809,1.9856610132990393e-05,4.7548294440656145,1.2017099801916147,3.5429423263121627,0.008071872133070831,-163.4,32000,4000,-260.0,0.07263472599792294,52,80.0,80,80,400,-80.0,4,0,0,23.64,65.5,0.0,0.0,4000,4000,-81.7,-81.7,32000,32000,80.0,80.0,32000,32000,-81.7,-81.7,4000,4000,0.0004447157552931458,4052.0,512.1552734375,8.0,0.1533786654472351,0.0005,7.692678451538086,1.608723521232605,0.07440149784088135,152070.0,32416,0.944542407989502,0.0,0.2,0.5219253897666931,0.0,4052,0.0007812500116415322,152070.0,32416,4000,32000,0.0,0.1944102313957242,4052,0.2
1,36000,False,9,f0d76_00000,2025-06-01_16-33-56,1748784836,4.705973863601685,42.95824718475342,18376,Cerebro,127.0.0.1,42.95824718475342,9,4.754455284730198,1.982104410866969e-05,4.754242810625345,1.1993358173897244,3.5447452310492866,0.008052820412149338,-162.8,36000,4000,-260.0,0.07135930699994787,48,80.0,80,80,448,-80.0,4,0,0,23.166666666666668,65.44999999999999,0.0,0.0,4000,4000,-81.4,-81.4,36000,36000,80.0,80.0,36000,36000,-81.4,-81.4,4000,4000,0.0003869126667268574,4052.0,681.276123046875,9.0,0.07341986894607544,0.0005,8.509347915649414,1.6088006496429443,-0.06116463243961334,152070.0,36468,0.24606503546237946,0.0,0.2,0.46801021695137024,0.0,4052,0.0003906250058207661,152070.0,36468,4000,36000,0.0,0.19445553698409024,4052,0.2
1,40000,False,10,f0d76_00000,2025-06-01_16-34-01,1748784841,4.633935928344727,47.592183113098145,18376,Cerebro,127.0.0.1,47.592183113098145,10,4.753131833882876,1.9732833923100655e-05,4.752918478518885,1.1964449542159425,3.5463016737388826,0.008052505208210837,-163.8,40000,4000,-260.0,0.0693721740017645,52,80.0,80,80,500,-140.0,4,0,0,28.066666666666666,65.35000000000001,0.0,0.0,4000,4000,-81.9,-81.9,40000,40000,80.0,80.0,40000,40000,-81.9,-81.9,4000,4000,0.0008400853839702904,4052.0,717.9588012695312,10.0,0.05059319734573364,0.0005,7.962177753448486,1.607943058013916,-0.07305217534303665,152070.0,40520,0.3423159122467041,0.0,0.2,0.40157726407051086,0.0,4052,0.00019531250291038305,152070.0,40520,4000,40000,0.0,0.19449845139755098,4052,0.2
1,44000,False,11,f0d76_00000,2025-06-01_16-34-06,1748784846,4.9415857791900635,52.53376889228821,18376,Cerebro,127.0.0.1,52.53376889228821,11,4.754922526543942,1.979050519725902e-05,4.754708141733372,1.19654701167391,3.5480023800014697,0.008033925156326466,-163.0,44000,4000,-260.0,0.07216067800240125,48,80.0,80,80,548,-160.0,4,0,0,26.26666666666667,65.36666666666666,0.0,0.0,4000,4000,-81.5,-81.5,44000,44000,80.0,80.0,44000,44000,-81.5,-81.5,4000,4000,0.0007526066619902849,4052.0,411.6797180175781,11.0,0.050852179527282715,0.0005,8.176400184631348,1.6075745820999146,0.17357203364372253,152070.0,44572,0.1892646849155426,0.0,0.2,0.6696972250938416,0.0,4052,9.765625145519152e-05,152070.0,44572,4000,44000,0.0,0.1945421348390481,4052,0.2
1,48000,False,12,f0d76_00000,2025-06-01_16-34-10,1748784850,4.6844422817230225,57.21821117401123,18376,Cerebro,127.0.0.1,57.21821117401123,12,4.754120596278162,1.971659992533039e-05,4.7539056553160925,1.1935740555574452,3.550182319201206,0.008019304904594207,-163.4,48000,4000,-260.0,0.07090821900346782,52,80.0,80,80,600,-120.0,4,0,0,22.916666666666668,65.38333333333334,0.0,0.0,4000,4000,-81.7,-81.7,48000,48000,80.0,80.0,48000,48000,-81.7,-81.7,4000,4000,0.0005223374464549124,4052.0,644.88671875,12.0,0.0771629810333252,0.0005,9.023103713989258,1.6068246364593506,0.0013311058282852173,152070.0,48624,0.4764419198036194,0.0,0.2,0.5822766423225403,0.0,4052,4.882812572759576e-05,152070.0,48624,4000,48000,0.0,0.19458301348657717,4052,0.2
1,52000,False,13,f0d76_00000,2025-06-01_16-34-15,1748784855,4.755484580993652,61.97369575500488,18376,Cerebro,127.0.0.1,61.97369575500488,13,4.754028790315422,1.9641434272968667e-05,4.75381321876276,1.1909199510022488,3.552753243008872,0.008005054855920764,-163.4,52000,4000,-260.0,0.06678120500175283,48,80.0,80,80,648,-120.0,4,0,0,23.03333333333333,65.33333333333334,0.0,0.0,4000,4000,-81.7,-81.7,52000,52000,80.0,80.0,52000,52000,-81.7,-81.7,4000,4000,0.00030896917451173067,4052.0,475.40386962890625,13.0,0.14331769943237305,0.0005,7.801854133605957,1.6067787408828735,0.19929155707359314,152070.0,52676,0.28189268708229065,0.0,0.2,0.6581212878227234,0.0,4052,2.441406286379788e-05,152070.0,52676,4000,52000,0.0,0.19463810476766677,4052,0.2
1,56000,False,14,f0d76_00000,2025-06-01_16-34-20,1748784860,4.622137546539307,66.59583330154419,18376,Cerebro,127.0.0.1,66.59583330154419,14,4.752600276412141,1.9670019897270158e-05,4.75238322457526,1.1879347574923875,3.5543196965786015,0.007989992307447133,-160.4,56000,4000,-260.0,0.06748881700274069,52,80.0,80,80,700,-120.0,4,0,0,22.46666666666667,65.10000000000001,0.0,0.0,4000,4000,-80.2,-80.2,56000,56000,80.0,80.0,56000,56000,-80.2,-80.2,4000,4000,0.000324081105645746,4052.0,572.4581298828125,14.0,0.1431165337562561,0.0005,7.614329814910889,1.607637643814087,-0.005353117827326059,152070.0,56728,0.3347468376159668,0.0,0.2,0.4345523715019226,0.0,4052,1.220703143189894e-05,152070.0,56728,4000,56000,0.0,0.1946893496417872,4052,0.2
1,60000,False,15,f0d76_00000,2025-06-01_16-34-25,1748784865,4.864125728607178,71.45995903015137,18376,Cerebro,127.0.0.1,71.45995903015137,15,4.753622785648145,1.9598319485955907e-05,4.7534050163297605,1.185811134917168,3.5574724766129857,0.007975024384613906,-159.6,60000,4000,-260.0,0.0689188940031454,48,80.0,80,80,748,-120.0,4,0,0,21.650000000000002,64.91666666666667,0.0,0.0,4000,4000,-79.8,-79.8,60000,60000,80.0,80.0,60000,60000,-79.8,-79.8,4000,4000,0.0004221584240440279,4052.0,421.88336181640625,15.0,0.24629360437393188,0.0005,8.42436408996582,1.6074459552764893,0.14034321904182434,152070.0,60780,0.6042595505714417,0.0,0.2,0.6612904071807861,0.0,4052,6.10351571594947e-06,152070.0,60780,4000,60000,0.0,0.19475523427794644,4052,0.2
1,64000,False,16,f0d76_00000,2025-06-01_16-34-30,1748784870,4.961660146713257,76.42161917686462,18376,Cerebro,127.0.0.1,76.42161917686462,16,4.755537887791383,1.9637336334272463e-05,4.755318330166252,1.1857127145683304,3.5594762938465387,0.007973082140682278,-161.2,64000,4000,-260.0,0.06814363500103354,52,80.0,80,80,800,-120.0,4,0,0,19.516666666666666,65.0,0.0,0.0,4000,4000,-80.6,-80.6,64000,64000,80.0,80.0,64000,64000,-80.6,-80.6,4000,4000,0.0007227874593809247,4052.0,456.79425048828125,16.0,0.19195109605789185,0.0005,8.408350944519043,1.6057342290878296,0.1624550074338913,152070.0,64832,0.33580857515335083,0.0,0.2,0.6821433305740356,0.0,4052,3.051757857974735e-06,152070.0,64832,4000,64000,0.0,0.19481998468641534,4052,0.2
1,68000,False,17,f0d76_00000,2025-06-01_16-34-34,1748784874,4.635315179824829,81.05693435668945,18376,Cerebro,127.0.0.1,81.05693435668945,17,4.7542299969135495,1.9572962811889645e-05,4.75400982486481,1.1837503534222809,3.5601323429078535,0.007965976319305257,-160.4,68000,4000,-260.0,0.06804403399815782,48,80.0,80,80,848,-80.0,4,0,0,23.25,64.93333333333334,0.0,0.0,4000,4000,-80.2,-80.2,68000,68000,80.0,80.0,68000,68000,-80.2,-80.2,4000,4000,0.0004006711533293128,4052.0,646.566162109375,17.0,0.11912274360656738,0.0005,8.505874633789062,1.605216383934021,-0.08846555650234222,152070.0,68884,0.4738432765007019,0.0,0.2,0.44107866287231445,0.0,4052,1.5258789289873675e-06,152070.0,68884,4000,68000,0.0,0.1948828690332875,4052,0.2
1,72000,False,18,f0d76_00000,2025-06-01_16-34-39,1748784879,5.053429841995239,86.11036419868469,18376,Cerebro,127.0.0.1,86.11036419868469,18,4.757117845944435,1.951123303995964e-05,4.756896896616201,1.1830766958880392,3.563694624478551,0.0079568405564421,-158.4,72000,4000,-260.0,0.07798920499510131,52,80.0,80,80,900,-80.0,4,0,0,22.099999999999998,64.92857142857143,0.0,0.0,4000,4000,-79.2,-79.2,72000,72000,80.0,80.0,72000,72000,-79.2,-79.2,4000,4000,0.0003476360870990902,4052.0,624.8353271484375,18.0,-0.08818912506103516,0.0005,8.865985870361328,1.6056019067764282,-0.13504289090633392,152070.0,72936,0.47671228647232056,0.0,0.2,0.43043532967567444,0.0,4052,7.629394644936838e-07,152070.0,72936,4000,72000,0.0,0.1949580656247548,4052,0.2
