num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_episodes,env_runners/episode_len_max,env_runners/episode_len_mean,env_runners/num_env_steps_sampled,env_runners/episode_return_max,env_runners/num_episodes_lifetime,env_runners/episode_duration_sec_mean,env_runners/episode_return_mean,env_runners/episode_len_min,env_runners/episode_return_min,env_runners/num_env_steps_sampled_lifetime,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/agent_steps/human,env_runners/agent_steps/ai,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,learners/ai/gradients_default_optimizer_global_norm,learners/ai/num_trainable_parameters,learners/ai/entropy,learners/ai/policy_loss,learners/ai/curr_kl_coeff,learners/ai/num_non_trainable_parameters,learners/ai/vf_loss_unclipped,learners/ai/mean_kl_loss,learners/ai/default_optimizer_learning_rate,learners/ai/total_loss,learners/ai/num_module_steps_trained,learners/ai/vf_explained_var,learners/ai/weights_seq_no,learners/ai/num_module_steps_trained_lifetime,learners/ai/vf_loss,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/curr_entropy_coeff,learners/ai/module_train_batch_size_mean,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/human/curr_entropy_coeff
1,4000,False,1,b94ec_00000,2025-06-01_17-50-30,1748789430,4.791653871536255,4.791653871536255,27492,Cerebro,127.0.0.1,4.791653871536255,1,4.782697199960239,1.9200029782950878e-05,4.7824990000226535,1.1153033000300638,3.658043599978555,0.006915899983141571,48,80,80.0,4000,-80.0,48,0.0845126916707765,-112.91666666666667,80,-250.0,4000,4,0,0,22.700000000000003,67.16666666666666,0.0,0.0,-56.458333333333336,-56.458333333333336,80.0,80.0,-56.458333333333336,-56.458333333333336,4000,4000,4000,4000,4000,4000,4000,4000,0.19506919384002686,152070,1.6021435260772705,0.011787069961428642,0.10000000149011612,0,74.00907897949219,0.0006385953747667372,0.001,0.3794853687286377,4052,0.03367197513580322,1.0,4052,6.879993438720703,0.0,0.2,4052,4052,4000,4052,152070,0.17558920005103573,4000,0,0.2
1,8000,False,2,b94ec_00000,2025-06-01_17-50-35,1748789435,4.917300224304199,9.708954095840454,27492,Cerebro,127.0.0.1,9.708954095840454,2,4.783854635960888,1.9196029752492906e-05,4.783654412022442,1.113454392030253,3.6610145509790164,0.006944940983084962,52,80,80.0,4000,-80.0,100,0.07611043200129643,-108.0,80,-250.0,8000,4,0,0,26.850000000000005,67.2,0.0,0.0,-54.0,-54.0,80.0,80.0,-54.0,-54.0,4000,4000,8000,8000,8000,8000,4000,4000,0.4031982719898224,152070.0,1.6043120622634888,0.033391907811164856,0.05000000074505806,0.0,109.27838897705078,0.00040490919491276145,0.001,0.4676315486431122,4052,-0.004631638526916504,2.0,8104,7.550615310668945,0.0,0.2,4052.0,4052,8000,8104,152070.0,0.1756066715210327,4000,0.0,0.2
1,12000,False,3,b94ec_00000,2025-06-01_17-50-39,1748789439,4.720433235168457,14.429387331008911,27492,Cerebro,127.0.0.1,14.429387331008911,3,4.783147009601188,1.9174069003202024e-05,4.78294565790274,1.1129123571099306,3.660853457469179,0.006939278573507908,48,80,80.0,4000,-80.0,148,0.07289733200217598,-104.2,80,-280.0,12000,4,0,0,29.01666666666667,67.13333333333334,0.0,0.0,-52.1,-52.1,80.0,80.0,-52.1,-52.1,4000,4000,12000,12000,12000,12000,4000,4000,0.46346017718315125,152070.0,1.6050019264221191,0.15555496513843536,0.02500000037252903,0.0,211.98361206054688,0.0004910281859338284,0.001,0.6405755281448364,4052,0.05208754539489746,3.0,12156,8.05996322631836,0.0,0.2,4052.0,4052,12000,12156,152070.0,0.17562312999162358,4000,0.0,0.2
1,16000,False,4,b94ec_00000,2025-06-01_17-50-44,1748789444,4.527759313583374,18.957146644592285,27492,Cerebro,127.0.0.1,18.957146644592285,4,4.780469604505418,1.9106328675290573e-05,4.780267100323713,1.1102898125392178,3.6607927568945717,0.006936783787850173,52,80,80.0,4000,160.0,200,0.07041489400260616,-98.7,80,-280.0,16000,4,0,0,22.45,67.10000000000001,0.0,0.0,-49.35,-49.35,80.0,80.0,-49.35,-49.35,4000,4000,16000,16000,16000,16000,4000,4000,0.6661364436149597,152070.0,1.604274034500122,0.026077687740325928,0.012500000186264515,0.0,208.32330322265625,0.0004431947600096464,0.001,0.52652508020401,4052,0.019967317581176758,4.0,16208,8.212911605834961,0.0,0.2,4052.0,4052,16000,16208,152070.0,0.1756381964156491,4000,0.0,0.2
1,20000,False,5,b94ec_00000,2025-06-01_17-50-49,1748789449,5.260262966156006,24.21740961074829,27492,Cerebro,127.0.0.1,24.21740961074829,5,4.785168102460237,1.905126525995555e-05,4.784964963320468,1.1127891734140067,3.6629998573254343,0.006928983950209129,48,80,80.0,4000,160.0,248,0.07126380700035952,-94.4,80,-200.0,20000,4,0,0,32.8,67.48333333333333,0.0,0.0,-47.2,-47.2,80.0,80.0,-47.2,-47.2,4000,4000,20000,20000,20000,20000,4000,4000,0.7021096348762512,152070.0,1.6063655614852905,-0.09050603955984116,0.0062500000931322575,0.0,143.37637329101562,0.0006981780752539635,0.001,0.3789157271385193,4052,0.036742568016052246,5.0,20260,7.906861782073975,0.0,0.2,4052.0,4052,20000,20260,152070.0,0.17567378594819497,4000,0.0,0.2
1,24000,False,6,b94ec_00000,2025-06-01_17-50-54,1748789454,4.659123420715332,28.876533031463623,27492,Cerebro,127.0.0.1,28.876533031463623,6,4.780805769435783,1.900275252446083e-05,4.7806011436874,1.1106027726798717,3.660812292752264,0.006934824110602617,52,80,80.0,4000,-80.0,300,0.07233366199943703,-95.9,80,-200.0,24000,4,0,0,20.433333333333334,67.16666666666667,0.0,0.0,-47.95,-47.95,80.0,80.0,-47.95,-47.95,4000,4000,24000,24000,24000,24000,4000,4000,0.636625349521637,152070.0,1.607037901878357,0.08031398057937622,0.0031250000465661287,0.0,184.08380126953125,0.0005592377856373787,0.001,0.5416845083236694,4052,0.038826167583465576,6.0,24312,7.827746391296387,0.0,0.2,4052.0,4052,24000,24312,152070.0,0.1757098965304486,4000,0.0,0.2
1,28000,False,7,b94ec_00000,2025-06-01_17-50-58,1748789458,4.369482040405273,33.2460150718689,27492,Cerebro,127.0.0.1,33.2460150718689,7,4.776585955741409,1.8938724794489167e-05,4.776380700250506,1.108593352953182,3.6586050898247855,0.006928545869529485,48,80,80.0,4000,-40.0,348,0.06561516799847596,-93.6,80,-170.0,28000,4,0,0,26.583333333333332,67.10000000000001,0.0,0.0,-46.8,-46.8,80.0,80.0,-46.8,-46.8,4000,4000,28000,28000,28000,28000,4000,4000,0.2994653582572937,152070.0,1.6051852703094482,0.037763021886348724,0.0015625000232830644,0.0,161.53395080566406,0.0006834837840870023,0.001,0.45891648530960083,4052,-0.013220906257629395,7.0,28364,7.421883583068848,0.0,0.2,4052.0,4052,28000,28364,152070.0,0.1757470670924643,4000,0.0,0.2
1,32000,False,8,b94ec_00000,2025-06-01_17-51-03,1748789463,4.4776763916015625,37.72369146347046,27492,Cerebro,127.0.0.1,37.72369146347046,8,4.773488904183692,1.887533734181722e-05,4.773283225248052,1.106074396423514,3.6580299319265945,0.006925067410753195,52,80,80.0,4000,-40.0,400,0.06450744500092696,-93.6,80,-240.0,32000,4,0,0,20.880000000000003,67.1,0.0,0.0,-46.8,-46.8,80.0,80.0,-46.8,-46.8,4000,4000,32000,32000,32000,32000,4000,4000,0.9790940284729004,152070.0,1.606398582458496,0.07404576987028122,0.0007812500116415322,0.0,159.60745239257812,0.0003070455277338624,0.001,0.5225525498390198,4052,-0.04356956481933594,8.0,32416,7.697860240936279,0.0,0.2,4052.0,4052,32000,32416,152070.0,0.17579743792358796,4000,0.0,0.2
1,36000,False,9,b94ec_00000,2025-06-01_17-51-07,1748789467,4.426531553268433,42.15022301673889,27492,Cerebro,127.0.0.1,42.15022301673889,9,4.769945106141957,1.8805584292447145e-05,4.769738898995782,1.1040096434592532,3.656558549607217,0.006916072736206131,48,80,80.0,4000,-80.0,448,0.06493692700227256,-94.0,80,-240.0,36000,4,0,0,24.166666666666668,67.08333333333333,0.0,0.0,-47.0,-47.0,80.0,80.0,-47.0,-47.0,4000,4000,36000,36000,36000,36000,4000,4000,0.40706610679626465,152070.0,1.605768084526062,0.0673711746931076,0.0003906250058207661,0.0,160.14637756347656,0.0005807874258607626,0.001,0.4918772876262665,4052,0.07945483922958374,9.0,36468,7.456592559814453,0.0,0.2,4052.0,4052,36000,36468,152070.0,0.17584647625138142,4000,0.0,0.2
1,40000,False,10,b94ec_00000,2025-06-01_17-51-12,1748789472,4.345851898193359,46.49607491493225,27492,Cerebro,127.0.0.1,46.49607491493225,10,4.765611122080359,1.8742528237181127e-05,4.765403817005449,1.1012001780245575,3.6550286411109774,0.006911441008344977,52,80,80.0,4000,-80.0,500,0.06354881399951409,-91.1,80,-160.0,40000,4,0,0,20.02,67.1,0.0,0.0,-45.55,-45.55,80.0,80.0,-45.55,-45.55,4000,4000,40000,40000,40000,40000,4000,4000,0.6272658705711365,152070.0,1.6053106784820557,0.1770271360874176,0.00019531250291038305,0.0,154.71746826171875,0.0007136172498576343,0.001,0.6032690405845642,4052,0.026714563369750977,10.0,40520,7.4730377197265625,0.0,0.2,4052.0,4052,40000,40520,152070.0,0.17589603478882454,4000,0.0,0.2
