num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_duration_sec_mean,env_runners/num_env_steps_sampled_lifetime,env_runners/num_episodes,env_runners/episode_len_mean,env_runners/episode_len_min,env_runners/episode_return_mean,env_runners/episode_len_max,env_runners/num_episodes_lifetime,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/num_env_steps_sampled,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/agent_episode_returns_mean/human,env_runners/agent_episode_returns_mean/ai,env_runners/num_agent_steps_sampled/ai,env_runners/num_agent_steps_sampled/human,env_runners/module_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled/ai,env_runners/num_module_steps_sampled/human,env_runners/agent_steps/ai,env_runners/agent_steps/human,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/ai/num_non_trainable_parameters,learners/ai/num_module_steps_trained,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/total_loss,learners/ai/gradients_default_optimizer_global_norm,learners/ai/vf_explained_var,learners/ai/entropy,learners/ai/num_trainable_parameters,learners/ai/curr_kl_coeff,learners/ai/weights_seq_no,learners/ai/module_train_batch_size_mean,learners/ai/vf_loss,learners/ai/vf_loss_unclipped,learners/ai/policy_loss,learners/ai/default_optimizer_learning_rate,learners/ai/curr_entropy_coeff,learners/ai/num_module_steps_trained_lifetime,learners/ai/mean_kl_loss,learners/human/curr_entropy_coeff
1,4000,False,1,0f52f_00000,2025-06-01_17-52-53,1748789573,4.648030519485474,4.648030519485474,20204,Cerebro,127.0.0.1,4.648030519485474,1,4.639781899983063,1.729995710775256e-05,4.639596900029574,1.1191125999903306,3.51289029995678,0.005885999999009073,0.08291868749680968,4000,48,80.0,80,-166.04166666666666,80,48,30.0,-510.0,4000,4,0,0,19.5,66.88333333333333,0.0,0.0,-83.02083333333333,-83.02083333333333,4000,4000,-83.02083333333333,-83.02083333333333,4000,4000,4000,4000,4000,4000,80.0,80.0,0,4052,4000,145926,0.18242369999643415,4000,4052,0,4052,0.0,0.5318088531494141,0.3527577221393585,-0.004812002182006836,1.6079704761505127,145926,0.10000000149011612,1.0,4052,8.301068305969238,943.9014892578125,0.0230613611638546,0.001,0.2,4052,0.001173702534288168,0.2
1,8000,False,2,0f52f_00000,2025-06-01_17-52-58,1748789578,4.552266597747803,9.200297117233276,20204,Cerebro,127.0.0.1,9.200297117233276,2,4.638813536983216,1.7306957743130625e-05,4.638627560029272,1.1160269499907736,3.5149957439571153,0.0058916899986797945,0.07104462999734096,8000,52,80.0,80,-149.8,80,100,220.0,-510.0,4000,4,0,0,18.933333333333334,66.85000000000001,0.0,0.0,-74.9,-74.9,4000,4000,-74.9,-74.9,8000,8000,8000,8000,4000,4000,80.0,80.0,0.0,4052,8000,145926.0,0.18243869115643319,4000,8104,0.0,4052,0.0,0.5495017766952515,0.2528129518032074,0.028676152229309082,1.6072310209274292,145926.0,0.05000000074505806,2.0,4052.0,8.073470115661621,860.18505859375,0.06354627013206482,0.001,0.2,8104,0.0005471901968121529,0.2
1,12000,False,3,0f52f_00000,2025-06-01_17-53-02,1748789582,4.495486259460449,13.695783376693726,20204,Cerebro,127.0.0.1,13.695783376693726,3,4.637288721613388,1.7268888611579313e-05,4.637102008429007,1.1137245284907635,3.5157659455176327,0.00589551509913872,0.06267143800097984,12000,48,80.0,80,-129.0,80,148,220.0,-470.0,4000,4,0,0,27.720000000000006,66.82000000000001,0.0,0.0,-64.5,-64.5,4000,4000,-64.5,-64.5,12000,12000,12000,12000,4000,4000,80.0,80.0,0.0,4052,12000,145926.0,0.1824518558232315,4000,12156,0.0,4052,0.0,0.7154178619384766,0.19563895463943481,0.07936668395996094,1.6052318811416626,145926.0,0.02500000037252903,3.0,4052.0,8.667170524597168,727.0044555664062,0.1697101593017578,0.001,0.2,12156,0.0007389771635644138,0.2
1,16000,False,4,0f52f_00000,2025-06-01_17-53-06,1748789586,4.333934545516968,18.029717922210693,20204,Cerebro,127.0.0.1,18.029717922210693,4,4.634156000396994,1.7224199535965455e-05,4.633968013344406,1.110617022205759,3.515724369062777,0.005901674948035798,0.06200162200490013,16000,52,80.0,80,-105.1,80,200,230.0,-450.0,4000,4,0,0,21.883333333333336,66.81666666666668,0.0,0.0,-52.55,-52.55,4000,4000,-52.55,-52.55,16000,16000,16000,16000,4000,4000,80.0,80.0,0.0,4052,16000,145926.0,0.1824626194975808,4000,16208,0.0,4052,0.0,0.46871504187583923,0.2436133325099945,0.06429064273834229,1.603116750717163,145926.0,0.012500000186264515,4.0,4052.0,7.816953659057617,1217.30517578125,0.007618291303515434,0.001,0.2,16208,0.0009901036974042654,0.2
1,20000,False,5,0f52f_00000,2025-06-01_17-53-11,1748789591,4.771764516830444,22.801482439041138,20204,Cerebro,127.0.0.1,22.801482439041138,5,4.635448924393179,1.7182957373951213e-05,4.635260126210999,1.108172988983475,3.5194564433724413,0.005901576198405095,0.061477256001671775,20000,48,80.0,80,-89.8,80,248,240.0,-450.0,4000,4,0,0,24.033333333333335,66.83333333333333,0.0,0.0,-44.9,-44.9,4000,4000,-44.9,-44.9,20000,20000,20000,20000,4000,4000,80.0,80.0,0.0,4052,20000,145926.0,0.1824892418828606,4000,20260,0.0,4052,0.0,0.5303063988685608,0.4140375554561615,-0.04161334037780762,1.5986533164978027,145926.0,0.0062500000931322575,5.0,4052.0,8.193933486938477,1178.4071044921875,0.03063574992120266,0.001,0.2,20260,0.0006401216960512102,0.2
1,24000,False,6,0f52f_00000,2025-06-01_17-53-16,1748789596,4.3593223094940186,27.160804748535156,20204,Cerebro,127.0.0.1,27.160804748535156,6,4.632547214149174,1.713512816233227e-05,4.63235743394908,1.1051303340936192,3.519577241938398,0.005912694436691671,0.06142642899940256,24000,52,80.0,80,-91.6,80,300,240.0,-340.0,4000,4,0,0,16.54,66.67999999999999,0.0,0.0,-45.8,-45.8,4000,4000,-45.8,-45.8,24000,24000,24000,24000,4000,4000,80.0,80.0,0.0,4052,24000,145926.0,0.18251503267848332,4000,24312,0.0,4052,0.0,0.5825250744819641,0.3955625891685486,0.06466400623321533,1.5961709022521973,145926.0,0.0031250000465661287,6.0,4052.0,8.019549369812012,547.7926635742188,0.09979826956987381,0.001,0.2,24312,0.0009747602161951363,0.2
1,28000,False,7,0f52f_00000,2025-06-01_17-53-21,1748789601,4.594550132751465,31.75535488128662,20204,Cerebro,127.0.0.1,31.75535488128662,7,4.632073529007529,1.7128776972947135e-05,4.6318824916098595,1.1033384267530988,3.5208856985194346,0.005915494492385432,0.06301241000299342,28000,48,80.0,80,-80.8,80,348,230.0,-350.0,4000,4,0,0,25.633333333333336,66.45,0.0,0.0,-40.4,-40.4,4000,4000,-40.4,-40.4,28000,28000,28000,28000,4000,4000,80.0,80.0,0.0,4052,28000,145926.0,0.18253933495400565,4000,28364,0.0,4052,0.0,0.2857916057109833,0.818317174911499,0.04993051290512085,1.5929597616195679,145926.0,0.0015625000232830644,7.0,4052.0,7.928971290588379,1065.095947265625,-0.18851616978645325,0.001,0.2,28364,0.0008554742089472711,0.2
1,32000,False,8,0f52f_00000,2025-06-01_17-53-25,1748789605,4.5882484912872314,36.34360337257385,20204,Cerebro,127.0.0.1,36.34360337257385,8,4.63152768671736,1.7061489413048365e-05,4.631336044693726,1.1018020084858648,3.5218633395338284,0.005920582547695124,0.06857800399942789,32000,52,80.0,80,-55.5,80,400,300.0,-360.0,4000,4,0,0,23.11666666666667,66.51666666666667,0.0,0.0,-27.75,-27.75,4000,4000,-27.75,-27.75,32000,32000,32000,32000,4000,4000,80.0,80.0,0.0,4052,32000,145926.0,0.18257709457075008,4000,32416,0.0,4052,0.0,0.48917558789253235,0.9270589351654053,-0.008993983268737793,1.5917638540267944,145926.0,0.0007812500116415322,8.0,4052.0,7.755980014801025,1031.8955078125,0.03192930668592453,0.001,0.2,32416,0.0006686756969429553,0.2
1,36000,False,9,0f52f_00000,2025-06-01_17-53-30,1748789610,4.613519191741943,40.957122564315796,20204,Cerebro,127.0.0.1,40.957122564315796,9,4.631235932850371,1.7018874329419817e-05,4.63104327824679,1.099893755400615,3.5234586691388032,0.005930020722202661,0.0682011129980674,36000,48,80.0,80,-46.3,80,448,300.0,-360.0,4000,4,0,0,24.483333333333334,66.53333333333335,0.0,0.0,-23.15,-23.15,4000,4000,-23.15,-23.15,36000,36000,36000,36000,4000,4000,80.0,80.0,0.0,4052,36000,145926.0,0.18261279804166547,4000,36468,0.0,4052,0.0,0.5078234672546387,0.6195611953735352,0.0635446310043335,1.5962918996810913,145926.0,0.0003906250058207661,9.0,4052.0,7.053524971008301,321.6548156738281,0.12172849476337433,0.001,0.2,36468,0.0010524529498070478,0.2
1,40000,False,10,0f52f_00000,2025-06-01_17-53-34,1748789614,4.412527084350586,45.36964964866638,20204,Cerebro,127.0.0.1,45.36964964866638,10,4.628951559521577,1.7006685625062353e-05,4.628758037464294,1.0974515298463083,3.52360176944727,0.0059354825145094894,0.064848697000416,40000,52,80.0,80,-34.6,80,500,290.0,-340.0,4000,4,0,0,23.32,66.53999999999999,0.0,0.0,-17.3,-17.3,4000,4000,-17.3,-17.3,40000,40000,40000,40000,4000,4000,80.0,80.0,0.0,4052,40000,145926.0,0.1826457290637073,4000,40520,0.0,4052,0.0,0.48451149463653564,0.29064783453941345,0.23614531755447388,1.586901307106018,145926.0,0.00019531250291038305,10.0,4052.0,8.459030151367188,1018.1827392578125,-0.04401148483157158,0.001,0.2,40520,0.0006244265241548419,0.2
