num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_return_max,env_runners/num_episodes_lifetime,env_runners/num_episodes,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_return_mean,env_runners/episode_return_min,env_runners/episode_len_mean,env_runners/episode_duration_sec_mean,env_runners/episode_len_min,env_runners/num_env_steps_sampled,env_runners/episode_len_max,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/agent_steps/human,env_runners/agent_steps/ai,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/module_episode_returns_mean/human,env_runners/module_episode_returns_mean/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/ai/vf_explained_var,learners/ai/default_optimizer_learning_rate,learners/ai/vf_loss,learners/ai/policy_loss,learners/ai/num_trainable_parameters,learners/ai/num_non_trainable_parameters,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/curr_entropy_coeff,learners/ai/curr_kl_coeff,learners/ai/gradients_default_optimizer_global_norm,learners/ai/mean_kl_loss,learners/ai/vf_loss_unclipped,learners/ai/weights_seq_no,learners/ai/module_train_batch_size_mean,learners/ai/entropy,learners/ai/total_loss,learners/ai/num_module_steps_trained,learners/ai/num_module_steps_trained_lifetime,learners/human/curr_entropy_coeff
1,4000,False,1,4c691_00000,2025-06-01_18-44-42,1748792682,4.4515626430511475,4.4515626430511475,17276,Cerebro,127.0.0.1,4.4515626430511475,1,4.443144700024277,2.050003968179226e-05,4.4429406999843195,1.0646560000022873,3.3694259999901988,0.00712349999230355,-48.00000000000007,48,48,4000,-96.74999999999996,-328.0000000000001,80.0,0.0808635875012745,80,4000,80,4,0,0,18.999999999999996,68.91666666666667,0.0,0.0,-48.37499999999998,-48.37499999999998,80.0,80.0,4000,4000,-48.37499999999998,-48.37499999999998,4000,4000,4000,4000,4000,4000,0.18051729997387156,152070,0,4000,4000,4052,4052,-0.14822936058044434,0.001,7.505436420440674,0.19115746021270752,152070,0,0.0,0.2,0.10000000149011612,0.09290338307619095,0.0006899574655108154,261.83148193359375,1.0,4052,1.6088160276412964,0.6200759410858154,4052,4052,0.2
1,8000,False,2,4c691_00000,2025-06-01_18-44-47,1748792687,4.623981237411499,9.075543880462646,17276,Cerebro,127.0.0.1,9.075543880462646,2,4.444859467023635,2.0466039422899485e-05,4.444654516984592,1.061845689002075,3.3739405219902983,0.007129125992069021,152.0000000000001,100,52,8000,-88.99999999999999,-328.0000000000001,80.0,0.06867648100014775,80,4000,80,4,0,0,23.099999999999998,68.91666666666667,0.0,0.0,-44.49999999999999,-44.49999999999999,80.0,80.0,4000,4000,-44.49999999999999,-44.49999999999999,8000,8000,4000,4000,8000,8000,0.18053150052387498,152070.0,0.0,4000,8000,4052,8104,-0.009708046913146973,0.001,5.807263374328613,-0.2706911265850067,152070.0,0.0,0.0,0.2,0.05000000074505806,0.8693867325782776,0.0006751800538040698,324.04644775390625,2.0,4052.0,1.6081000566482544,-0.011517242528498173,4052,8104,0.2
1,12000,False,3,4c691_00000,2025-06-01_18-44-51,1748792691,4.5969078540802,13.672451734542847,17276,Cerebro,127.0.0.1,13.672451734542847,3,4.446291727353394,2.039037884678692e-05,4.446086103814962,1.0631096541121077,3.3741089027704496,0.007122128732188139,152.0000000000001,148,48,12000,-76.00000000000001,-288.0000000000005,80.0,0.061160758996848016,80,4000,80,4,0,0,22.94,68.96000000000001,0.0,0.0,-38.00000000000001,-38.00000000000001,80.0,80.0,4000,4000,-38.00000000000001,-38.00000000000001,12000,12000,4000,4000,12000,12000,0.18054433688287808,152070.0,0.0,4000,12000,4052,12156,-0.03085482120513916,0.001,5.823494911193848,-0.1926475465297699,152070.0,0.0,0.0,0.2,0.02500000037252903,0.6011616587638855,0.0004522330709733069,148.55479431152344,3.0,4052.0,1.6084096431732178,0.06804259866476059,4052,12156,0.2
1,16000,False,4,4c691_00000,2025-06-01_18-44-56,1748792696,4.513722896575928,18.186174631118774,17276,Cerebro,127.0.0.1,18.186174631118774,4,4.446864791079679,2.0321474922122436e-05,4.446658248776679,1.0604317525712867,3.3773588397426324,0.007118284444516409,52.00000000000013,200,52,16000,-74.2,-288.0000000000003,80.0,0.06188075099722482,80,4000,80,4,0,0,24.26666666666667,68.91666666666667,0.0,0.0,-37.1,-37.1,80.0,80.0,4000,4000,-37.1,-37.1,16000,16000,4000,4000,16000,16000,0.18055517885465028,152070.0,0.0,4000,16000,4052,16208,0.09813570976257324,0.001,7.72117805480957,0.24844351410865784,152070.0,0.0,0.0,0.2,0.012500000186264515,0.21187491714954376,0.0008647097856737673,131.53402709960938,4.0,4052.0,1.606914758682251,0.6991999745368958,4052,16208,0.2
1,20000,False,5,4c691_00000,2025-06-01_18-45-00,1748792700,4.679609775543213,22.865784406661987,17276,Cerebro,127.0.0.1,22.865784406661987,5,4.449086632169057,2.0241260527407287e-05,4.44887949328919,1.0605468090459016,3.3794728133450493,0.0071053665996052475,291.9999999999999,248,48,20000,-69.60000000000001,-187.99999999999972,80.0,0.06805505599884781,80,4000,80,4,0,0,30.599999999999998,67.55000000000001,0.0,0.0,-34.800000000000004,-34.800000000000004,80.0,80.0,4000,4000,-34.800000000000004,-34.800000000000004,20000,20000,4000,4000,20000,20000,0.1805862939032998,152070.0,0.0,4000,20000,4052,20260,0.08947783708572388,0.001,6.848616123199463,0.042641088366508484,152070.0,0.0,0.0,0.2,0.0062500000931322575,0.6330231428146362,0.00028193925390951335,69.0694808959961,5.0,4052.0,1.6063505411148071,0.4062362015247345,4052,20260,0.2
1,24000,False,6,4c691_00000,2025-06-01_18-45-05,1748792705,4.6467530727386475,27.512537479400635,17276,Cerebro,127.0.0.1,27.512537479400635,6,4.450944433847212,2.0166847732635147e-05,4.450736093356251,1.059358612955434,3.382515086211548,0.007098977933563597,331.9999999999992,300,52,24000,-64.80000000000001,-268.00000000000006,80.0,0.07459090299962554,80,4000,80,4,0,0,23.950000000000003,67.10000000000001,0.0,0.0,-32.400000000000006,-32.400000000000006,80.0,80.0,4000,4000,-32.400000000000006,-32.400000000000006,24000,24000,4000,4000,24000,24000,0.18061462065309106,152070.0,0.0,4000,24000,4052,24312,0.00337374210357666,0.001,6.772424697875977,-0.010866384953260422,152070.0,0.0,0.0,0.2,0.0031250000465661287,0.23438435792922974,0.00047086644917726517,135.74237060546875,6.0,4052.0,1.6033889055252075,0.3457012176513672,4052,24312,0.2
1,28000,False,7,4c691_00000,2025-06-01_18-45-10,1748792710,4.53472113609314,32.047258615493774,17276,Cerebro,127.0.0.1,32.047258615493774,7,4.451700761508579,2.00971790962687e-05,4.451491856422154,1.0579195738259508,3.3847106923495107,0.007093690153929521,331.9999999999992,348,48,28000,-67.00000000000004,-268.00000000000006,80.0,0.06915388899913523,80,4000,80,4,0,0,23.53333333333333,66.91666666666667,0.0,0.0,-33.50000000000002,-33.50000000000002,80.0,80.0,4000,4000,-33.50000000000002,-33.50000000000002,28000,28000,4000,4000,28000,28000,0.18065839968849476,152070.0,0.0,4000,28000,4052,28364,0.014202117919921875,0.001,6.227388381958008,0.3104809820652008,152070.0,0.0,0.0,0.2,0.0015625000232830644,0.3924199044704437,0.00040621153311803937,120.60174560546875,7.0,4052.0,1.603679895401001,0.6124851107597351,4052,28364,0.2
1,32000,False,8,4c691_00000,2025-06-01_18-45-14,1748792714,4.4702467918396,36.517505407333374,17276,Cerebro,127.0.0.1,36.517505407333374,8,4.451786890893142,2.0001207522751208e-05,4.451577516858476,1.0555526140877998,3.387154137425716,0.007093474252473948,251.99999999999997,400,52,32000,-59.20000000000004,-288.0,80.0,0.0641728650010191,80,4000,80,4,0,0,21.48,66.9,0.0,0.0,-29.60000000000002,-29.60000000000002,80.0,80.0,4000,4000,-29.60000000000002,-29.60000000000002,32000,32000,4000,4000,32000,32000,0.18069945616112587,152070.0,0.0,4000,32000,4052,32416,-0.024730324745178223,0.001,6.468174457550049,0.02872927114367485,152070.0,0.0,0.0,0.2,0.0007812500116415322,0.4916226267814636,0.00035482164821587503,76.99373626708984,8.0,4052.0,1.603797435760498,0.3547877371311188,4052,32416,0.2
1,36000,False,9,4c691_00000,2025-06-01_18-45-19,1748792719,4.348672151565552,40.866177558898926,17276,Cerebro,127.0.0.1,40.866177558898926,9,4.450494460984154,1.9957195471231444e-05,4.4502838626895995,1.0540441809471848,3.3873674090513943,0.007086238510115006,251.99999999999997,448,48,36000,-59.20000000000004,-308.0,80.0,0.06417539200396277,80,4000,80,4,0,0,21.166666666666668,66.91666666666667,0.0,0.0,-29.60000000000002,-29.60000000000002,80.0,80.0,4000,4000,-29.60000000000002,-29.60000000000002,36000,36000,4000,4000,36000,36000,0.18073825591433565,152070.0,0.0,4000,36000,4052,36468,0.13371753692626953,0.001,6.025002956390381,0.1936461180448532,152070.0,0.0,0.0,0.2,0.0003906250058207661,0.29649725556373596,0.00037925882497802377,118.58528137207031,9.0,4052.0,1.6034789085388184,0.47545087337493896,4052,36468,0.2
1,40000,False,10,4c691_00000,2025-06-01_18-45-23,1748792723,4.430148124694824,45.29632568359375,17276,Cerebro,127.0.0.1,45.29632568359375,10,4.45019179137401,1.9861623726349834e-05,4.4499803500626465,1.0515650501376232,3.389543215960817,0.007078355124935908,-48.00000000000003,500,52,40000,-66.20000000000003,-308.0,80.0,0.06295183700160123,80,4000,80,4,0,0,29.52,66.96,0.0,0.0,-33.100000000000016,-33.100000000000016,80.0,80.0,4000,4000,-33.100000000000016,-33.100000000000016,40000,40000,4000,4000,40000,40000,0.18077422389686568,152070.0,0.0,4000,40000,4052,40520,-0.043373942375183105,0.001,7.179383277893066,0.06374577432870865,152070.0,0.0,0.0,0.2,0.00019531250291038305,0.7938174605369568,0.000301080261124298,104.99104309082031,10.0,4052.0,1.6019684076309204,0.461290568113327,4052,40520,0.2
