num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_duration_sec_mean,env_runners/num_env_steps_sampled,env_runners/num_episodes_lifetime,env_runners/episode_return_min,env_runners/episode_len_max,env_runners/episode_len_min,env_runners/episode_return_max,env_runners/episode_return_mean,env_runners/num_episodes,env_runners/episode_len_mean,env_runners/num_env_steps_sampled_lifetime,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_agent_steps_sampled/human,env_runners/num_agent_steps_sampled/ai,env_runners/agent_episode_returns_mean/ai,env_runners/agent_episode_returns_mean/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/agent_steps/human,env_runners/agent_steps/ai,env_runners/module_episode_returns_mean/human,env_runners/module_episode_returns_mean/ai,learners/ai/num_trainable_parameters,learners/ai/weights_seq_no,learners/ai/vf_loss_unclipped,learners/ai/default_optimizer_learning_rate,learners/ai/entropy,learners/ai/vf_loss,learners/ai/module_train_batch_size_mean,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/ai/num_module_steps_trained,learners/ai/num_non_trainable_parameters,learners/ai/total_loss,learners/ai/curr_kl_coeff,learners/ai/policy_loss,learners/ai/vf_explained_var,learners/ai/curr_entropy_coeff,learners/ai/gradients_default_optimizer_global_norm,learners/ai/mean_kl_loss,learners/ai/num_module_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/human/curr_entropy_coeff
1,4000,False,1,993e9_00000,2025-06-01_20-19-54,1748798394,4.62190318107605,4.62190318107605,22856,Cerebro,127.0.0.1,4.62190318107605,1,4.611935099994298,1.7400016076862812e-05,4.611759399995208,1.3275269999867305,3.275588499964215,0.006574799946974963,0.0783745854217462,4000,48,-948.0000000000011,80,80,252.00000000000009,-223.41666666666683,48,80.0,4000,4,0,0,17.8,71.91666666666667,0.0,0.0,4000,4000,-111.70833333333341,-111.70833333333341,4000,4000,4000,4000,4000,4000,80.0,80.0,-111.70833333333341,-111.70833333333341,145926,1.0,2005.36865234375,0.0005,1.606402039527893,7.755858421325684,4052,0.0,4052,0,0.38752806186676025,0.10000000149011612,-0.0669020339846611,-0.002232193946838379,0.2,0.1769389808177948,0.0006234698812477291,4052,145926,0.16121150000253692,4052,0,4000,4000,4052,0.2
1,8000,False,2,993e9_00000,2025-06-01_20-19-59,1748798399,4.453749656677246,9.075652837753296,22856,Cerebro,127.0.0.1,9.075652837753296,2,4.610254598994507,1.7433016328141093e-05,4.610077517995378,1.3221310839871876,3.27930797196459,0.006571246947278268,0.06779741900158115,4000,100,-948.0000000000011,80,80,291.9999999999998,-175.00000000000014,52,80.0,8000,4,0,0,20.583333333333332,71.94999999999999,0.0,0.0,4000,4000,-87.50000000000007,-87.50000000000007,8000,8000,4000,4000,8000,8000,80.0,80.0,-87.50000000000007,-87.50000000000007,145926.0,2.0,2218.36376953125,0.0005,1.6051675081253052,7.82863712310791,4052.0,0.0,4052,0.0,0.48569414019584656,0.05000000074505806,0.023807276040315628,-0.012359142303466797,0.2,0.31989017128944397,0.0005665892385877669,8104,145926.0,0.16122659816253582,4052,0.0,8000,4000,8104,0.2
1,12000,False,3,993e9_00000,2025-06-01_20-20-03,1748798403,4.264632940292358,13.340285778045654,22856,Cerebro,127.0.0.1,13.340285778045654,3,4.60670700200504,1.7398686066735535e-05,4.606528671815607,1.317884305147454,3.280007356244954,0.0065711974777921565,0.06251773099589628,4000,148,-488.0000000000009,80,80,351.9999999999992,-110.60000000000004,48,80.0,12000,4,0,0,23.32,71.97999999999999,0.0,0.0,4000,4000,-55.30000000000002,-55.30000000000002,12000,12000,4000,4000,12000,12000,80.0,80.0,-55.30000000000002,-55.30000000000002,145926.0,3.0,1621.3729248046875,0.0005,1.6052907705307007,7.266099452972412,4052.0,0.0,4052,0.0,0.23933672904968262,0.02500000037252903,-0.16626310348510742,0.06325238943099976,0.2,0.2746756076812744,0.0009607582469470799,12156,145926.0,0.161241484359339,4052,0.0,12000,4000,12156,0.2
1,16000,False,4,993e9_00000,2025-06-01_20-20-07,1748798407,4.3198771476745605,17.660162925720215,22856,Cerebro,127.0.0.1,17.660162925720215,4,4.603735825984551,1.734869956818875e-05,4.60355607609707,1.31259021809611,3.282326631682665,0.00656873150264105,0.06175968099734746,4000,200,-488.0000000000009,80,80,351.9999999999992,-103.60000000000008,52,80.0,16000,4,0,0,23.08,71.97999999999999,0.0,0.0,4000,4000,-51.80000000000004,-51.80000000000004,16000,16000,4000,4000,16000,16000,80.0,80.0,-51.80000000000004,-51.80000000000004,145926.0,4.0,446.028076171875,0.0005,1.605278491973877,7.773915767669678,4052.0,0.0,4052,0.0,0.48467063903808594,0.012500000186264515,0.02831694856286049,-0.029892563819885254,0.2,0.31885668635368347,0.0007104199030436575,16208,145926.0,0.16125624253238993,4052,0.0,16000,4000,16208,0.2
1,20000,False,5,993e9_00000,2025-06-01_20-20-12,1748798412,4.4932122230529785,22.153375148773193,22856,Cerebro,127.0.0.1,22.153375148773193,5,4.602536593724373,1.729621232970734e-05,4.602355975336422,1.3080473529150656,3.2856471813658055,0.006589113187568207,0.059851532998727634,4000,248,-468.000000000001,80,80,291.9999999999998,-108.60000000000011,48,80.0,20000,4,0,0,24.483333333333334,71.53333333333335,0.0,0.0,4000,4000,-54.300000000000054,-54.300000000000054,20000,20000,4000,4000,20000,20000,80.0,80.0,-54.300000000000054,-54.300000000000054,145926.0,5.0,1581.1641845703125,0.0005,1.6043702363967896,8.896697998046875,4052.0,0.0,4052,0.0,0.5366641879081726,0.0062500000931322575,-0.03213728219270706,0.06387364864349365,0.2,0.36738577485084534,0.00046435242984443903,20260,145926.0,0.16128938792354688,4052,0.0,20000,4000,20260,0.2
1,24000,False,6,993e9_00000,2025-06-01_20-20-16,1748798416,4.442100524902344,26.595475673675537,22856,Cerebro,127.0.0.1,26.595475673675537,6,4.600838691786637,1.7243249955996253e-05,4.600656872582951,1.3035809313862539,3.2884024335517568,0.006594537055642643,0.06349097599682864,4000,300,-488.0,80,80,332.0,-69.20000000000006,52,80.0,24000,4,0,0,22.883333333333336,71.51666666666667,0.0,0.0,4000,4000,-34.60000000000003,-34.60000000000003,24000,24000,4000,4000,24000,24000,80.0,80.0,-34.60000000000003,-34.60000000000003,145926.0,6.0,1142.58203125,0.0005,1.6036432981491089,8.255093574523926,4052.0,0.0,4052,0.0,0.46833938360214233,0.0031250000465661287,-0.036443330347537994,-0.11803627014160156,0.2,0.19659912586212158,0.0003231349110137671,24312,145926.0,0.161322289332627,4052,0.0,24000,4000,24312,0.2
1,28000,False,7,993e9_00000,2025-06-01_20-20-21,1748798421,4.611683368682861,31.2071590423584,22856,Cerebro,127.0.0.1,31.2071590423584,7,4.600711948868954,1.719181779571338e-05,4.600529140857467,1.2988754090726722,3.2929627552162137,0.006594171685022961,0.06262432299845386,4000,348,-488.0,80,80,352.0000000000001,-55.40000000000002,48,80.0,28000,4,0,0,27.383333333333336,71.53333333333335,0.0,0.0,4000,4000,-27.70000000000001,-27.70000000000001,28000,28000,4000,4000,28000,28000,80.0,80.0,-27.70000000000001,-27.70000000000001,145926.0,7.0,793.9119262695312,0.0005,1.6001983880996704,8.016437530517578,4052.0,0.0,4052,0.0,0.4639495313167572,0.0015625000232830644,-0.017656687647104263,-0.08368861675262451,0.2,0.3587110936641693,0.000693317037075758,28364,145926.0,0.16137069024473238,4052,0.0,28000,4000,28364,0.2
1,32000,False,8,993e9_00000,2025-06-01_20-20-25,1748798425,4.299551010131836,35.506710052490234,22856,Cerebro,127.0.0.1,35.506710052490234,8,4.597598910380387,1.712789985804492e-05,4.597414800449046,1.293650675981839,3.295050221663829,0.0066084379683176535,0.05889242699893657,4000,400,-308.0000000000009,80,80,352.0000000000001,-54.400000000000055,52,80.0,32000,4,0,0,22.0,71.525,0.0,0.0,4000,4000,-27.200000000000028,-27.200000000000028,32000,32000,4000,4000,32000,32000,80.0,80.0,-27.200000000000028,-27.200000000000028,145926.0,8.0,927.717529296875,0.0005,1.5999975204467773,7.4260735511779785,4052.0,0.0,4052,0.0,0.559046745300293,0.0007812500116415322,0.1364378184080124,-0.009564876556396484,0.2,0.3118342459201813,0.0008130998467095196,32416,145926.0,0.16141818339966454,4052,0.0,32000,4000,32416,0.2
1,36000,False,9,993e9_00000,2025-06-01_20-20-30,1748798430,4.474750995635986,39.98146104812622,22856,Cerebro,127.0.0.1,39.98146104812622,9,4.596276967276798,1.708962070803887e-05,4.596091480444132,1.290405926221839,3.2969622834472587,0.006612195588427902,0.06423550899955444,4000,448,-548.0000000000008,80,80,351.99999999999864,-48.60000000000011,48,80.0,36000,4,0,0,26.549999999999997,71.5,0.0,0.0,4000,4000,-24.300000000000054,-24.300000000000054,36000,36000,4000,4000,36000,36000,80.0,80.0,-24.300000000000054,-24.300000000000054,145926.0,9.0,1011.2277221679688,0.0005,1.6002953052520752,7.159245491027832,4052.0,0.0,4052,0.0,0.3238750398159027,0.0003906250058207661,-0.07199101895093918,-0.04108536243438721,0.2,0.5800175666809082,0.0007763558533042669,36468,145926.0,0.16146500936247155,4052,0.0,36000,4000,36468,0.2
1,40000,False,10,993e9_00000,2025-06-01_20-20-34,1748798434,4.345897436141968,44.32735848426819,22856,Cerebro,127.0.0.1,44.32735848426819,10,4.593675137604305,1.7045724885922528e-05,4.593488323639602,1.2856968569593767,3.299063771612347,0.006608438633029065,0.06621769299847075,4000,500,-548.0000000000008,80,80,351.9999999999999,-56.400000000000084,52,80.0,40000,4,0,0,24.0,71.48333333333333,0.0,0.0,4000,4000,-28.200000000000042,-28.200000000000042,40000,40000,4000,4000,40000,40000,80.0,80.0,-28.200000000000042,-28.200000000000042,145926.0,10.0,849.9788818359375,0.0005,1.594672441482544,7.814248085021973,4052.0,0.0,4052,0.0,0.3284696340560913,0.00019531250291038305,-0.13402090966701508,0.1498512625694275,0.2,0.27286773920059204,0.0006440462311729789,40520,145926.0,0.1615134676976801,4052,0.0,40000,4000,40520,0.2
1,44000,False,11,993e9_00000,2025-06-01_20-20-39,1748798439,4.589206218719482,48.91656470298767,22856,Cerebro,127.0.0.1,48.91656470298767,11,4.5935424872288015,1.700426745517973e-05,4.59335469540303,1.2830765883894422,3.301554066896441,0.00660257924660527,0.06196909999940545,4000,548,-468.00000000000034,80,80,351.9999999999999,-42.20000000000005,48,80.0,44000,4,0,0,22.75,71.56666666666666,0.0,0.0,4000,4000,-21.100000000000026,-21.100000000000026,44000,44000,4000,4000,44000,44000,80.0,80.0,-21.100000000000026,-21.100000000000026,145926.0,11.0,1059.8818359375,0.0005,1.591686725616455,7.9719696044921875,4052.0,0.0,4052,0.0,0.5083202719688416,9.765625145519152e-05,0.029460608959197998,-0.010509610176086426,0.2,0.2095586657524109,0.0006997050950303674,44572,145926.0,0.1615617415352522,4052,0.0,44000,4000,44572,0.2
1,48000,False,12,993e9_00000,2025-06-01_20-20-44,1748798444,4.486704349517822,53.40326905250549,22856,Cerebro,127.0.0.1,53.40326905250549,12,4.5923740073566695,1.6949225074218062e-05,4.592185358449284,1.2783968835055008,3.3050550042274525,0.006604976454187132,0.06206917500239797,4000,600,-468.00000000000034,80,80,351.9999999999993,-35.40000000000012,52,80.0,48000,4,0,0,25.266666666666666,71.60000000000001,0.0,0.0,4000,4000,-17.70000000000006,-17.70000000000006,48000,48000,4000,4000,48000,48000,80.0,80.0,-17.70000000000006,-17.70000000000006,145926.0,12.0,1942.5531005859375,0.0005,1.588229775428772,7.4283294677734375,4052.0,0.0,4052,0.0,0.3277535140514374,4.882812572759576e-05,-0.09743349254131317,0.001400589942932129,0.2,0.5366043448448181,0.0005874852649867535,48624,145926.0,0.16160957940930448,4052,0.0,48000,4000,48624,0.2
1,52000,False,13,993e9_00000,2025-06-01_20-20-48,1748798448,4.477430820465088,57.88069987297058,22856,Cerebro,127.0.0.1,57.88069987297058,13,4.591108013282969,1.689473311706601e-05,4.590918371864855,1.2746183356706293,3.307562958185251,0.006604891689603202,0.06309203500219156,4000,648,-468.00000000000034,80,80,351.9999999999999,-28.00000000000007,48,80.0,52000,4,0,0,28.060000000000002,71.55999999999999,0.0,0.0,4000,4000,-14.000000000000036,-14.000000000000036,52000,52000,4000,4000,52000,52000,80.0,80.0,-14.000000000000036,-14.000000000000036,145926.0,13.0,682.07861328125,0.0005,1.5832496881484985,7.415679454803467,4052.0,0.0,4052,0.0,0.46213382482528687,2.441406286379788e-05,0.03721582889556885,0.07654166221618652,0.2,0.4515371322631836,0.0005823272513225675,52676,145926.0,0.16165742447172132,4052,0.0,52000,4000,52676,0.2
1,56000,False,14,993e9_00000,2025-06-01_20-20-53,1748798453,4.53263258934021,62.41333246231079,22856,Cerebro,127.0.0.1,62.41333246231079,14,4.5904125641500215,1.6845786117557947e-05,4.590221852146198,1.2718242093138232,3.3096570226033224,0.006600132772574028,0.06371834399935324,4000,700,-348.0000000000007,80,80,352.0,1.599999999999916,52,80.0,56000,4,0,0,25.25,71.5,0.0,0.0,4000,4000,0.799999999999958,0.799999999999958,56000,56000,4000,4000,56000,56000,80.0,80.0,0.799999999999958,0.799999999999958,145926.0,14.0,3018.44482421875,0.0005,1.5851835012435913,8.545348167419434,4052.0,0.0,4052,0.0,0.5329219102859497,1.220703143189894e-05,-0.004576271399855614,-0.00984489917755127,0.2,0.4942466616630554,0.0006665191031061113,56728,145926.0,0.1617040808549484,4052,0.0,56000,4000,56728,0.2
1,60000,False,15,993e9_00000,2025-06-01_20-20-57,1748798457,4.471646308898926,66.88497877120972,22856,Cerebro,127.0.0.1,66.88497877120972,15,4.589116599508008,1.6811328112571257e-05,4.588924605624969,1.2677730312201405,3.3124070653767377,0.006597812444877025,0.06301181599730626,4000,748,-348.0000000000007,80,80,352.0,12.99999999999985,48,80.0,60000,4,0,0,25.720000000000006,71.52000000000001,0.0,0.0,4000,4000,6.499999999999925,6.499999999999925,60000,60000,4000,4000,60000,60000,80.0,80.0,6.499999999999925,6.499999999999925,145926.0,15.0,958.6942749023438,0.0005,1.5823737382888794,8.140946388244629,4052.0,0.0,4052,0.0,0.6618956327438354,6.10351571594947e-06,0.16427573561668396,-0.026282668113708496,0.2,0.2989994287490845,0.00044133042683824897,60780,145926.0,0.16174974187806357,4052,0.0,60000,4000,60780,0.2
1,64000,False,16,993e9_00000,2025-06-01_20-21-02,1748798462,4.72922420501709,71.6142029762268,22856,Cerebro,127.0.0.1,71.6142029762268,16,4.590422059513151,1.6773214657176464e-05,4.5902287385686655,1.2640951599076804,3.3173776377229016,0.006604574320751647,0.06515316799865105,4000,800,-468.00000000000034,80,80,352.0,28.79999999999986,52,80.0,64000,4,0,0,21.416666666666668,71.75000000000001,0.0,0.0,4000,4000,14.39999999999993,14.39999999999993,64000,64000,4000,4000,64000,64000,80.0,80.0,14.39999999999993,14.39999999999993,145926.0,16.0,2756.535400390625,0.0005,1.57707941532135,8.307790756225586,4052.0,0.0,4052,0.0,0.47175201773643494,3.051757857974735e-06,-0.04361114278435707,-0.022767305374145508,0.2,0.5877803564071655,0.0009205814567394555,64832,145926.0,0.16181241331263363,4052,0.0,64000,4000,64832,0.2
1,68000,False,17,993e9_00000,2025-06-01_20-21-07,1748798467,4.6492838859558105,76.26348686218262,22856,Cerebro,127.0.0.1,76.26348686218262,17,4.590895707917863,1.6720482222118217e-05,4.5907014811833236,1.2617090853087194,3.3202181383453038,0.006616365577679463,0.07094426700263284,4000,848,-488.00000000000125,80,80,371.99999999999864,51.19999999999982,48,80.0,68000,4,0,0,28.216666666666665,71.76666666666667,0.0,0.0,4000,4000,25.59999999999991,25.59999999999991,68000,68000,4000,4000,68000,68000,80.0,80.0,25.59999999999991,25.59999999999991,145926.0,17.0,2699.71240234375,0.0005,1.568638801574707,8.399057388305664,4052.0,0.0,4052,0.0,0.6342015266418457,1.5258789289873675e-06,0.10802360624074936,0.07131367921829224,0.2,0.27032098174095154,0.0008287247037515044,68884,145926.0,0.16187704524432323,4052,0.0,68000,4000,68884,0.2
1,72000,False,18,993e9_00000,2025-06-01_20-21-12,1748798472,5.025759220123291,81.28924608230591,22856,Cerebro,127.0.0.1,81.28924608230591,18,4.595126809838798,1.6776277351699228e-05,4.5949303223716145,1.2578715134557228,3.3282644939617705,0.0066258399221739515,0.07069794699957128,4000,900,-488.00000000000125,80,80,431.999999999999,50.99999999999975,52,80.0,72000,4,0,0,30.200000000000003,72.73333333333333,0.0,0.0,4000,4000,25.499999999999876,25.499999999999876,72000,72000,4000,4000,72000,72000,80.0,80.0,25.499999999999876,25.499999999999876,145926.0,18.0,3403.658447265625,0.0005,1.570542335510254,7.994178295135498,4052.0,0.0,4052,0.0,0.27562853693962097,7.629394644936838e-07,-0.20968081057071686,0.0030329227447509766,0.2,0.24595409631729126,0.0006228621350601315,72936,145926.0,0.16195913032604858,4052,0.0,72000,4000,72936,0.2
1,76000,False,19,993e9_00000,2025-06-01_20-21-17,1748798477,4.768306493759155,86.05755257606506,22856,Cerebro,127.0.0.1,86.05755257606506,19,4.59674340074082,1.673451437345518e-05,4.596545841147884,1.2559499353208181,3.331793313022064,0.006625509522628417,0.07195153899781871,4000,948,-488.0000000000005,80,80,431.999999999999,66.19999999999973,48,80.0,76000,4,0,0,30.116666666666664,72.56666666666666,0.0,0.0,4000,4000,33.099999999999866,33.099999999999866,76000,76000,4000,4000,76000,76000,80.0,80.0,33.099999999999866,33.099999999999866,145926.0,19.0,3454.37255859375,0.0005,1.5693943500518799,7.7290215492248535,4052.0,0.0,4052,0.0,0.31192123889923096,3.814697322468419e-07,-0.14710213243961334,-0.028124094009399414,0.2,0.5602304339408875,0.0011726142838597298,76988,145926.0,0.16204080847161723,4052,0.0,76000,4000,76988,0.2
1,80000,False,20,993e9_00000,2025-06-01_20-21-21,1748798481,4.48135781288147,90.53891038894653,22856,Cerebro,127.0.0.1,90.53891038894653,20,4.595481457733034,1.668116951569626e-05,4.59528309573641,1.2525810119678655,3.3338897598917,0.0066273904275929935,0.07160653200233355,4000,1000,-388.00000000000114,80,80,351.9999999999998,89.59999999999971,52,80.0,80000,4,0,0,24.580000000000002,71.96000000000001,0.0,0.0,4000,4000,44.799999999999855,44.799999999999855,80000,80000,4000,4000,80000,80000,80.0,80.0,44.799999999999855,44.799999999999855,145926.0,20.0,2255.9931640625,0.0005,1.5611718893051147,8.4945707321167,4052.0,0.0,4052,0.0,0.6253305673599243,1.9073486612342094e-07,0.0881078690290451,-0.05843651294708252,0.2,0.19386906921863556,0.0006399392732419074,81040,145926.0,0.16212106788124114,4052,0.0,80000,4000,81040,0.2
